identifier	page
NCBITaxon:100	taxa/bacteria/ancylobacter_aquaticus.html
NCBITaxon:100035	taxa/eukaryota/massariosphaeria_phaeospora.html
NCBITaxon:100044	taxa/eukaryota/pleomassaria_siparia.html
NCBITaxon:100047	taxa/eukaryota/melanomma_pulvis_pyrius.html
NCBITaxon:100052	taxa/eukaryota/delitschia_winteri.html
NCBITaxon:100053	taxa/bacteria/leptospira_alexanderi.html
NCBITaxon:1000560	taxa/bacteria/escherichia_coli_vdp.html
NCBITaxon:1000561	taxa/bacteria/pseudomonas_aeruginosa_aes_1r.html
NCBITaxon:1000562	taxa/bacteria/streptococcus_phocae_subsp_salmonis.html
NCBITaxon:1000565	taxa/bacteria/methyloversatilis_universalis_fam5.html
NCBITaxon:1000566	taxa/bacteria/halosaccharopolyspora_lacisalsi.html
NCBITaxon:1000567	taxa/bacteria/bifidobacterium_longum_3_1_37dfaab.html
NCBITaxon:1000568	taxa/bacteria/megasphaera_lornae.html
NCBITaxon:1000569	taxa/bacteria/megasphaera_sp_upii_135_e.html
NCBITaxon:1000570	taxa/bacteria/streptococcus_anginosus_sk52_dsm_20563.html
NCBITaxon:1000588	taxa/bacteria/streptococcus_mitis_bv_2_str_sk95.html
NCBITaxon:1000589	taxa/bacteria/streptococcus_dysgalactiae_subsp_equisimilis_sk1249.html
NCBITaxon:1000590	taxa/bacteria/staphylococcus_epidermidis_14_1_r1_se.html
NCBITaxon:1000935	taxa/bacteria/anaplasma_marginale_str_florida_relapse.html
NCBITaxon:1000936	taxa/bacteria/anaplasma_marginale_str_okeechobee.html
NCBITaxon:1000937	taxa/bacteria/anaplasma_marginale_str_washington_okanogan.html
NCBITaxon:1000938	taxa/bacteria/anaplasma_marginale_str_oklahoma.html
NCBITaxon:1000939	taxa/bacteria/anaplasma_marginale_str_south_idaho.html
NCBITaxon:1000950	taxa/bacteria/vibrio_cholerae_hc_55c1.html
NCBITaxon:1000951	taxa/bacteria/vibrio_cholerae_hc_81a2.html
NCBITaxon:1000952	taxa/bacteria/vibrio_cholerae_hc_17a2.html
NCBITaxon:1000953	taxa/bacteria/vibrio_cholerae_hc_72a2.html
NCBITaxon:1000983	taxa/eukaryota/pavlova_granifera.html
NCBITaxon:1001	taxa/bacteria/garritya_polymorpha.html
NCBITaxon:1001223	taxa/bacteria/avibacterium_paragallinarum_72c.html
NCBITaxon:1001224	taxa/bacteria/avibacterium_paragallinarum_72c1.html
NCBITaxon:1001240	taxa/bacteria/cryobacterium_roopkundense.html
NCBITaxon:100133	taxa/bacteria/sporobacterium_olearium.html
NCBITaxon:100134	taxa/bacteria/anaerocolumna_xylanovorans.html
NCBITaxon:1001530	taxa/bacteria/photobacterium_leiognathi_subsp_mandapamensis_svers_1_1.html
NCBITaxon:1001534	taxa/bacteria/francisella_tularensis_subsp_tularensis_ti0902.html
NCBITaxon:1001542	taxa/bacteria/francisella_tularensis_subsp_tularensis_tigb03.html
NCBITaxon:1001582	taxa/bacteria/bacillus_amyloliquefaciens_ll3.html
NCBITaxon:1001585	taxa/bacteria/ectopseudomonas_mendocina_nk_01.html
NCBITaxon:1001586	taxa/bacteria/leptospira_interrogans_serovar_bulgarica_str_mallika.html
NCBITaxon:1001587	taxa/bacteria/leptospira_interrogans_serovar_pomona_str_pomona.html
NCBITaxon:1001588	taxa/bacteria/leptospira_interrogans_str_2002000621.html
NCBITaxon:1001589	taxa/bacteria/leptospira_weilii_str_2006001853.html
NCBITaxon:1001590	taxa/bacteria/leptospira_interrogans_str_2006001854.html
NCBITaxon:1001591	taxa/bacteria/leptospira_interrogans_str_c10069.html
NCBITaxon:1001592	taxa/bacteria/leptospira_santarosai_str_2000027870.html
NCBITaxon:1001593	taxa/bacteria/leptospira_noguchii_str_2006001870.html
