identifier	added	reason
NCBITaxon:562	2026-09-10	core rule: Escherichia coli, 7 sources incl. NCBI, 1861 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:54	2026-09-10	core rule: Nannocystis exedens, 7 sources incl. NCBI, 1136 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:97398	2026-09-10	core rule: Streptomyces abikoensis, 7 sources incl. NCBI, 649 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1421	2026-09-10	core rule: Lysinibacillus sphaericus, 7 sources incl. NCBI, 587 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:33	2026-09-10	core rule: Myxococcus fulvus, 7 sources incl. NCBI, 524 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:287	2026-09-10	core rule: Pseudomonas aeruginosa, 7 sources incl. NCBI, 507 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1894	2026-09-10	core rule: Kitasatospora aureofaciens, 7 sources incl. NCBI, 505 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1280	2026-09-10	core rule: Staphylococcus aureus, 7 sources incl. NCBI, 463 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1313	2026-09-10	core rule: Streptococcus pneumoniae, 7 sources incl. NCBI, 369 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:28901	2026-09-10	core rule: Salmonella enterica, 7 sources incl. NCBI, 327 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:573	2026-09-10	core rule: Klebsiella pneumoniae, 7 sources incl. NCBI, 323 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1423	2026-09-10	core rule: Bacillus subtilis, 7 sources incl. NCBI, 269 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1541	2026-09-10	core rule: Terrisporobacter mayombei, 7 sources incl. NCBI, 269 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:83456	2026-09-10	core rule: Myxococcus virescens, 7 sources incl. NCBI, 258 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1895	2026-09-10	core rule: Streptomyces avidinii, 7 sources incl. NCBI, 229 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:727	2026-09-10	core rule: Haemophilus influenzae, 7 sources incl. NCBI, 222 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:520	2026-09-10	core rule: Bordetella pertussis, 7 sources incl. NCBI, 199 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1328	2026-09-10	core rule: Streptococcus anginosus, 7 sources incl. NCBI, 196 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1351	2026-09-10	core rule: Enterococcus faecalis, 7 sources incl. NCBI, 178 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1270	2026-09-10	core rule: Micrococcus luteus, 7 sources incl. NCBI, 166 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1717	2026-09-10	core rule: Corynebacterium diphtheriae, 7 sources incl. NCBI, 166 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:487	2026-09-10	core rule: Neisseria meningitidis, 7 sources incl. NCBI, 157 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:40324	2026-09-10	core rule: Stenotrophomonas maltophilia, 7 sources incl. NCBI, 153 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1314	2026-09-10	core rule: Streptococcus pyogenes, 7 sources incl. NCBI, 149 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:470	2026-09-10	core rule: Acinetobacter baumannii, 7 sources incl. NCBI, 129 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:28188	2026-09-10	core rule: Capnocytophaga canimorsus, 7 sources incl. NCBI, 121 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1402	2026-09-10	core rule: Bacillus licheniformis, 7 sources incl. NCBI, 119 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:666	2026-09-10	core rule: Vibrio cholerae, 7 sources incl. NCBI, 115 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1282	2026-09-10	core rule: Staphylococcus epidermidis, 7 sources incl. NCBI, 115 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1911	2026-09-10	core rule: Streptomyces griseus, 7 sources incl. NCBI, 113 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:615	2026-09-10	core rule: Serratia marcescens, 7 sources incl. NCBI, 103 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:485	2026-09-10	core rule: Neisseria gonorrhoeae, 7 sources incl. NCBI, 94 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:315405	2026-09-10	core rule: Streptococcus gallolyticus, 7 sources incl. NCBI, 92 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:546	2026-09-10	core rule: Citrobacter freundii, 7 sources incl. NCBI, 85 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1747	2026-09-10	core rule: Cutibacterium acnes, 7 sources incl. NCBI, 84 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1655	2026-09-10	core rule: Actinomyces naeslundii, 7 sources incl. NCBI, 81 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:85698	2026-09-10	core rule: Achromobacter xylosoxidans, 7 sources incl. NCBI, 80 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:714	2026-09-10	core rule: Aggregatibacter actinomycetemcomitans, 7 sources incl. NCBI, 79 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1304	2026-09-10	core rule: Streptococcus salivarius, 7 sources incl. NCBI, 79 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1496	2026-09-10	core rule: Clostridioides difficile, 7 sources incl. NCBI, 79 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:339	2026-09-10	core rule: Xanthomonas campestris, 7 sources incl. NCBI, 71 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1408	2026-09-10	core rule: Bacillus pumilus, 7 sources incl. NCBI, 71 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:83460	2026-09-10	core rule: Allostigmatella erecta, 7 sources incl. NCBI, 71 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1292	2026-09-10	core rule: Staphylococcus warneri, 7 sources incl. NCBI, 70 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:43765	2026-09-10	core rule: Corynebacterium amycolatum, 7 sources incl. NCBI, 70 BacDive strains, LPSN correct name with type strain, GTDB mapping
