sample_id	reason
biosample:SAMD00000741	assembly_unavailable
biosample:SAMD00000764	assembly_unavailable
biosample:SAMD00002732	assembly_unavailable
biosample:SAMD00002827	assembly_unavailable
biosample:SAMD00003104	assembly_unavailable
biosample:SAMD00003108	assembly_unavailable
biosample:SAMD00003335	assembly_unavailable
biosample:SAMD00003336	assembly_unavailable
biosample:SAMD00003352	assembly_unavailable
biosample:SAMD00003395	assembly_unavailable
biosample:SAMD00003499	assembly_unavailable
biosample:SAMD00003505	assembly_unavailable
biosample:SAMD00003591	assembly_unavailable
biosample:SAMD00003603	assembly_unavailable
biosample:SAMD00003685	assembly_unavailable
biosample:SAMD00003702	assembly_unavailable
biosample:SAMD00003711	assembly_unavailable
biosample:SAMD00003823	assembly_unavailable
biosample:SAMD00004020	assembly_unavailable
biosample:SAMD00004030	assembly_unavailable
biosample:SAMD00004031	assembly_unavailable
biosample:SAMD00004065	assembly_unavailable
biosample:SAMD00004086	assembly_unavailable
biosample:SAMD00004155	assembly_unavailable
biosample:SAMD00004211	assembly_unavailable
biosample:SAMD00004645	assembly_unavailable
biosample:SAMD00004655	assembly_unavailable
biosample:SAMD00006042	assembly_unavailable
biosample:SAMD00006051	assembly_unavailable
biosample:SAMD00006053	assembly_unavailable
biosample:SAMD00006080	assembly_unavailable
biosample:SAMD00006082	assembly_unavailable
biosample:SAMD00006087	assembly_unavailable
biosample:SAMD00006259	assembly_unavailable
biosample:SAMD00006340	assembly_unavailable
biosample:SAMD00006362	assembly_unavailable
biosample:SAMD00008613	assembly_unavailable
biosample:SAMD00008625	assembly_unavailable
biosample:SAMD00008721	assembly_unavailable
biosample:SAMD00008733	assembly_unavailable
biosample:SAMD00008812	assembly_unavailable
biosample:SAMD00008813	assembly_unavailable
biosample:SAMD00008838	assembly_unavailable
biosample:SAMD00008912	assembly_unavailable
biosample:SAMD00008926	assembly_unavailable
biosample:SAMD00008943	assembly_unavailable
biosample:SAMD00008955	assembly_unavailable
biosample:SAMD00008960	assembly_unavailable
biosample:SAMD00008973	assembly_unavailable
biosample:SAMD00008982	assembly_unavailable
biosample:SAMD00009021	assembly_unavailable
biosample:SAMD00009051	assembly_unavailable
biosample:SAMD00009096	assembly_unavailable
biosample:SAMD00009117	assembly_unavailable
biosample:SAMD00009236	assembly_unavailable
biosample:SAMD00009302	assembly_unavailable
biosample:SAMD00009315	assembly_unavailable
biosample:SAMD00009346	assembly_unavailable
biosample:SAMD00009355	assembly_unavailable
biosample:SAMD00009357	assembly_unavailable
biosample:SAMD00009367	assembly_unavailable
biosample:SAMD00009459	assembly_unavailable
biosample:SAMD00009486	assembly_unavailable
biosample:SAMD00009799	assembly_unavailable
biosample:SAMD00009942	assembly_unavailable
biosample:SAMD00009951	assembly_unavailable
biosample:SAMD00009972	assembly_unavailable
biosample:SAMD00009976	assembly_unavailable
biosample:SAMD00010076	assembly_unavailable
biosample:SAMD00010222	assembly_unavailable
biosample:SAMD00010713	assembly_unavailable
biosample:SAMD00010723	assembly_unavailable
biosample:SAMD00010816	assembly_unavailable
biosample:SAMD00011086	assembly_unavailable
biosample:SAMD00011136	assembly_unavailable
biosample:SAMD00011176	assembly_unavailable
biosample:SAMD00011178	assembly_unavailable
biosample:SAMD00011231	assembly_unavailable
biosample:SAMD00011359	assembly_unavailable
biosample:SAMD00011592	assembly_unavailable
biosample:SAMD00011624	assembly_unavailable
biosample:SAMD00011898	assembly_unavailable
biosample:SAMD00012129	assembly_unavailable
biosample:SAMD00012132	assembly_unavailable
biosample:SAMD00012185	assembly_unavailable
biosample:SAMD00012187	assembly_unavailable
biosample:SAMD00012206	assembly_unavailable
biosample:SAMD00012331	assembly_unavailable
biosample:SAMD00012480	assembly_unavailable
biosample:SAMD00012546	assembly_unavailable
biosample:SAMD00012690	assembly_unavailable
biosample:SAMD00012694	assembly_unavailable
biosample:SAMD00012825	assembly_unavailable
biosample:SAMD00012912	assembly_unavailable
biosample:SAMD00012956	assembly_unavailable
biosample:SAMD00013505	assembly_unavailable
biosample:SAMD00013635	assembly_unavailable
biosample:SAMD00013701	assembly_unavailable
biosample:SAMD00013881	assembly_unavailable
biosample:SAMD00015724	assembly_unavailable
biosample:SAMD00015726	assembly_unavailable
biosample:SAMD00015843	assembly_unavailable
biosample:SAMD00015865	assembly_unavailable
biosample:SAMD00015869	assembly_unavailable
biosample:SAMD00015930	assembly_unavailable
biosample:SAMD00015967	assembly_unavailable
biosample:SAMD00016339	assembly_unavailable
biosample:SAMD00016376	assembly_unavailable
biosample:SAMD00016568	assembly_unavailable
biosample:SAMD00016569	assembly_unavailable
biosample:SAMD00016596	assembly_unavailable
biosample:SAMD00016614	assembly_unavailable
biosample:SAMD00016697	assembly_unavailable
biosample:SAMD00016732	assembly_unavailable
