strain_id	atb_id	sample_id	sample_evidence_json
kgmicrobe.strain:bacdive_10	atb.assembly:202505.SAMN13343659	biosample:SAMN13343659	"[{""matched_strain_id"":""kgmicrobe.strain:LMG-1626"",""record_id"":""biosample:SAMN13343659"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0551382"",""source_organism_id"":""gold:Go0576608"",""source_project_id"":""gold:Gp0551382"",""source_strain_field"":""ORGANISM CULTURE COLLECTION ID"",""source_strain_identifiers"":""LMG 1626"",""taxon_id"":""NCBITaxon:104097""},{""matched_strain_id"":""kgmicrobe.strain:LMG-1626"",""record_id"":""biosample:SAMN13343659"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0551382"",""source_organism_id"":""gold:Go0576608"",""source_project_id"":""gold:Gp0551382"",""source_strain_field"":""ORGANISM STRAIN"",""source_strain_identifiers"":""LMG 1626"",""taxon_id"":""NCBITaxon:104097""},{""matched_strain_id"":""kgmicrobe.strain:LMG-1626"",""record_id"":""biosample:SAMN13343659"",""record_type"":""BIOSAMPLE"",""source"":""GTDB"",""source_field"":""ncbi_biosample"",""source_id"":""gtdb.genome:RS_GCF_011516945.1"",""source_strain_field"":""ncbi_strain_identifiers"",""source_strain_identifiers"":""LMG 1626"",""taxon_id"":""NCBITaxon:104097""}]"
kgmicrobe.strain:bacdive_100	atb.assembly:202505.SAMN08776248	biosample:SAMN08776248	"[{""matched_strain_id"":""kgmicrobe.strain:DSM-14760"",""record_id"":""biosample:SAMN08776248"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0251908"",""source_organism_id"":""gold:Go0013133"",""source_project_id"":""gold:Gp0251908"",""source_strain_field"":""ORGANISM CULTURE COLLECTION ID"",""source_strain_identifiers"":""DSM 14760"",""taxon_id"":""NCBITaxon:1122957""},{""matched_strain_id"":""kgmicrobe.strain:DSM-14760"",""record_id"":""biosample:SAMN08776248"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0251908"",""source_organism_id"":""gold:Go0013133"",""source_project_id"":""gold:Gp0251908"",""source_strain_field"":""ORGANISM STRAIN"",""source_strain_identifiers"":""DSM 14760"",""taxon_id"":""NCBITaxon:1122957""},{""matched_strain_id"":""kgmicrobe.strain:DSM-14760"",""record_id"":""biosample:SAMN08776248"",""record_type"":""BIOSAMPLE"",""source"":""GTDB"",""source_field"":""ncbi_biosample"",""source_id"":""gtdb.genome:RS_GCF_003269275.1"",""source_strain_field"":""ncbi_strain_identifiers"",""source_strain_identifiers"":""DSM 14760"",""taxon_id"":""NCBITaxon:1122957""}]"
kgmicrobe.strain:bacdive_10177	atb.assembly:202505.SAMN02745121	biosample:SAMN02745121	"[{""matched_strain_id"":""kgmicrobe.strain:ATCC-25963"",""record_id"":""biosample:SAMN02745121"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0088892"",""source_organism_id"":""gold:Go0088892"",""source_project_id"":""gold:Gp0088892"",""source_strain_field"":""ORGANISM CULTURE COLLECTION ID"",""source_strain_identifiers"":""ATCC 25963"",""taxon_id"":""NCBITaxon:54""},{""matched_strain_id"":""kgmicrobe.strain:ATCC-25963"",""record_id"":""biosample:SAMN02745121"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0088892"",""source_organism_id"":""gold:Go0088892"",""source_project_id"":""gold:Gp0088892"",""source_strain_field"":""ORGANISM STRAIN"",""source_strain_identifiers"":""ATCC 25963"",""taxon_id"":""NCBITaxon:54""},{""matched_strain_id"":""kgmicrobe.strain:ATCC-25963"",""record_id"":""biosample:SAMN02745121"",""record_type"":""BIOSAMPLE"",""source"":""GTDB"",""source_field"":""ncbi_biosample"",""source_id"":""gtdb.genome:RS_GCF_900112715.1"",""source_strain_field"":""ncbi_strain_identifiers"",""source_strain_identifiers"":""ATCC 25963"",""taxon_id"":""NCBITaxon:54""}]"
kgmicrobe.strain:bacdive_103	atb.assembly:202505.SAMN05216245	biosample:SAMN05216245	"[{""matched_strain_id"":""kgmicrobe.strain:DSM-9236"",""record_id"":""biosample:SAMN05216245"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0127371"",""source_organism_id"":""gold:Go0013364"",""source_project_id"":""gold:Gp0127371"",""source_strain_field"":""ORGANISM CULTURE COLLECTION ID"",""source_strain_identifiers"":""DSM 9236"",""taxon_id"":""NCBITaxon:1123323""},{""matched_strain_id"":""kgmicrobe.strain:DSM-9236"",""record_id"":""biosample:SAMN05216245"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0127371"",""source_organism_id"":""gold:Go0013364"",""source_project_id"":""gold:Gp0127371"",""source_strain_field"":""ORGANISM STRAIN"",""source_strain_identifiers"":""DSM 9236"",""taxon_id"":""NCBITaxon:1123323""},{""matched_strain_id"":""kgmicrobe.strain:DSM-9236"",""record_id"":""biosample:SAMN05216245"",""record_type"":""BIOSAMPLE"",""source"":""GTDB"",""source_field"":""ncbi_biosample"",""source_id"":""gtdb.genome:RS_GCF_900112895.1"",""source_strain_field"":""ncbi_strain_identifiers"",""source_strain_identifiers"":""DSM 9236"",""taxon_id"":""NCBITaxon:1123323""}]"
kgmicrobe.strain:bacdive_104	atb.assembly:202505.SAMN04487864	biosample:SAMN04487864	"[{""matched_strain_id"":""kgmicrobe.strain:DSM-11005"",""record_id"":""biosample:SAMN04487864"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0110881"",""source_organism_id"":""gold:Go0110408"",""source_project_id"":""gold:Gp0110881"",""source_strain_field"":""ORGANISM CULTURE COLLECTION ID"",""source_strain_identifiers"":""DSM 11005"",""taxon_id"":""NCBITaxon:40841""},{""matched_strain_id"":""kgmicrobe.strain:DSM-11005"",""record_id"":""biosample:SAMN04487864"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0110881"",""source_organism_id"":""gold:Go0110408"",""source_project_id"":""gold:Gp0110881"",""source_strain_field"":""ORGANISM STRAIN"",""source_strain_identifiers"":""DSM 11005"",""taxon_id"":""NCBITaxon:40841""},{""matched_strain_id"":""kgmicrobe.strain:DSM-11005"",""record_id"":""biosample:SAMN04487864"",""record_type"":""BIOSAMPLE"",""source"":""GTDB"",""source_field"":""ncbi_biosample"",""source_id"":""gtdb.genome:RS_GCF_900101645.1"",""source_strain_field"":""ncbi_strain_identifiers"",""source_strain_identifiers"":""DSM 11005"",""taxon_id"":""NCBITaxon:40841""}]"
kgmicrobe.strain:bacdive_10452	atb.assembly:202505.SAMN02745482	biosample:SAMN02745482	"[{""matched_strain_id"":""kgmicrobe.strain:DSM-19808"",""record_id"":""biosample:SAMN02745482"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0013427"",""source_organism_id"":""gold:Go0013427"",""source_project_id"":""gold:Gp0013427"",""source_strain_field"":""ORGANISM CULTURE COLLECTION ID"",""source_strain_identifiers"":""DSM 19808"",""taxon_id"":""NCBITaxon:1121283""},{""matched_strain_id"":""kgmicrobe.strain:DSM-19808"",""record_id"":""biosample:SAMN02745482"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0013427"",""source_organism_id"":""gold:Go0013427"",""source_project_id"":""gold:Gp0013427"",""source_strain_field"":""ORGANISM STRAIN"",""source_strain_identifiers"":""DSM 19808"",""taxon_id"":""NCBITaxon:1121283""},{""matched_strain_id"":""kgmicrobe.strain:DSM-19808"",""record_id"":""biosample:SAMN02745482"",""record_type"":""BIOSAMPLE"",""source"":""GTDB"",""source_field"":""ncbi_biosample"",""source_id"":""gtdb.genome:RS_GCF_000711885.1"",""source_strain_field"":""ncbi_strain_identifiers"",""source_strain_identifiers"":""DSM 19808"",""taxon_id"":""NCBITaxon:1121283""}]"
kgmicrobe.strain:bacdive_10458	atb.assembly:202505.SAMN20888891	biosample:SAMN20888891	"[{""matched_strain_id"":""kgmicrobe.strain:DSM-8340"",""record_id"":""biosample:SAMN20888891"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0608476"",""source_organism_id"":""gold:Go0594531"",""source_project_id"":""gold:Gp0608476"",""source_strain_field"":""ORGANISM CULTURE COLLECTION ID"",""source_strain_identifiers"":""DSM 8340"",""taxon_id"":""NCBITaxon:539""}]"
kgmicrobe.strain:bacdive_10459	atb.assembly:202505.SAMN05660284	biosample:SAMN05660284	"[{""matched_strain_id"":""kgmicrobe.strain:DSM-6150"",""record_id"":""biosample:SAMN05660284"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0102898"",""source_organism_id"":""gold:Go0102898"",""source_project_id"":""gold:Gp0102898"",""source_strain_field"":""ORGANISM CULTURE COLLECTION ID"",""source_strain_identifiers"":""DSM 6150"",""taxon_id"":""NCBITaxon:83765""},{""matched_strain_id"":""kgmicrobe.strain:DSM-6150"",""record_id"":""biosample:SAMN05660284"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0102898"",""source_organism_id"":""gold:Go0102898"",""source_project_id"":""gold:Gp0102898"",""source_strain_field"":""ORGANISM STRAIN"",""source_strain_identifiers"":""DSM 6150"",""taxon_id"":""NCBITaxon:83765""},{""matched_strain_id"":""kgmicrobe.strain:DSM-6150"",""record_id"":""biosample:SAMN05660284"",""record_type"":""BIOSAMPLE"",""source"":""GTDB"",""source_field"":""ncbi_biosample"",""source_id"":""gtdb.genome:RS_GCF_900115065.1"",""source_strain_field"":""ncbi_strain_identifiers"",""source_strain_identifiers"":""DSM 6150"",""taxon_id"":""NCBITaxon:83765""}]"
kgmicrobe.strain:bacdive_10460	atb.assembly:202505.SAMN10866381	biosample:SAMN10866381	"[{""matched_strain_id"":""kgmicrobe.strain:DSM-3764"",""record_id"":""biosample:SAMN10866381"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0325737"",""source_organism_id"":""gold:Go0456413"",""source_project_id"":""gold:Gp0325737"",""source_strain_field"":""ORGANISM CULTURE COLLECTION ID"",""source_strain_identifiers"":""DSM 3764"",""taxon_id"":""NCBITaxon:537""},{""matched_strain_id"":""kgmicrobe.strain:DSM-3764"",""record_id"":""biosample:SAMN10866381"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0325737"",""source_organism_id"":""gold:Go0456413"",""source_project_id"":""gold:Gp0325737"",""source_strain_field"":""ORGANISM STRAIN"",""source_strain_identifiers"":""DSM 3764"",""taxon_id"":""NCBITaxon:537""},{""matched_strain_id"":""kgmicrobe.strain:DSM-3764"",""record_id"":""biosample:SAMN10866381"",""record_type"":""BIOSAMPLE"",""source"":""GTDB"",""source_field"":""ncbi_biosample"",""source_id"":""gtdb.genome:RS_GCF_004346505.1"",""source_strain_field"":""ncbi_strain_identifiers"",""source_strain_identifiers"":""DSM 3764"",""taxon_id"":""NCBITaxon:537""}]"
kgmicrobe.strain:bacdive_10462	atb.assembly:202505.SAMN16357229	biosample:SAMN16357229	"[{""matched_strain_id"":""kgmicrobe.strain:DSM-10202"",""record_id"":""biosample:SAMN16357229"",""record_type"":""BIOSAMPLE"",""source"":""GOLD"",""source_field"":""NCBI BIOSAMPLE ACCESSION"",""source_id"":""gold:Gp0550508"",""source_organism_id"":""gold:Go0575779"",""source_project_id"":""gold:Gp0550508"",""source_strain_field"":""ORGANISM CULTURE COLLECTION ID"",""source_strain_identifiers"":""DSM 10202"",""taxon_id"":""NCBITaxon:502""}]"
