strain_id	bacdive_id	designation	taxon_ids	lpsn_ids	culture_collection_ids	medium_count
kgmicrobe.strain:bacdive_1	1	B 4114	NCBITaxon:435	lpsn:772484	kgmicrobe.strain:DSM-2002|kgmicrobe.strain:NCIB-8554	0
kgmicrobe.strain:bacdive_2	2	L 40	NCBITaxon:887700	lpsn:772484	kgmicrobe.strain:ATCC-15973|kgmicrobe.strain:BCRC-11688|kgmicrobe.strain:CCM-3620|kgmicrobe.strain:CCTM-3043|kgmicrobe.strain:CCUG-18122|kgmicrobe.strain:CECT-298|kgmicrobe.strain:CGMCC-1.1809|kgmicrobe.strain:CIP-103111|kgmicrobe.strain:DSM-3508|kgmicrobe.strain:ICMP-8807|kgmicrobe.strain:IFO-14818|kgmicrobe.strain:JCM-7641|kgmicrobe.strain:LMD-23.1|kgmicrobe.strain:LMG-1261|kgmicrobe.strain:LMG-1261-1|kgmicrobe.strain:LMG-1261-t1|kgmicrobe.strain:LMG-1504|kgmicrobe.strain:NBRC-14818|kgmicrobe.strain:NCCB-23001|kgmicrobe.strain:NCIB-8621|kgmicrobe.strain:NCIMB-8621|kgmicrobe.strain:VTT-E-042567|kgmicrobe.strain:VTT-E-97828	0
kgmicrobe.strain:bacdive_3	3	B-468, A8	NCBITaxon:178900	lpsn:772492	kgmicrobe.strain:ATCC-6438|kgmicrobe.strain:CCM-2363|kgmicrobe.strain:CIP-102720|kgmicrobe.strain:DSM-2324|kgmicrobe.strain:IAM-1803|kgmicrobe.strain:IFO-3170|kgmicrobe.strain:IMET-10613|kgmicrobe.strain:JCM-20269|kgmicrobe.strain:LMG-1592|kgmicrobe.strain:LMG-1643|kgmicrobe.strain:NBRC-3170|kgmicrobe.strain:NCIB-2224|kgmicrobe.strain:NCIMB-2224|kgmicrobe.strain:NCTC-2224|kgmicrobe.strain:NRRL-B-468	0
kgmicrobe.strain:bacdive_4	4	190	NCBITaxon:438	lpsn:772511	kgmicrobe.strain:ATCC-33445|kgmicrobe.strain:BCRC-14145|kgmicrobe.strain:CCM-2374|kgmicrobe.strain:CCUG-18125|kgmicrobe.strain:CGMCC-1.1810|kgmicrobe.strain:CIP-103108|kgmicrobe.strain:DSM-3509|kgmicrobe.strain:ICMP-8808|kgmicrobe.strain:IMET-10733|kgmicrobe.strain:JCM-7640|kgmicrobe.strain:LMD-22.1|kgmicrobe.strain:LMG-1262|kgmicrobe.strain:NBRC-106471|kgmicrobe.strain:NCCB-22001|kgmicrobe.strain:NCIMB-12228|kgmicrobe.strain:VTT-E-97830	0
kgmicrobe.strain:bacdive_5	5	Asai A-5, BU 121, Porges 38, A4	NCBITaxon:940265	lpsn:772511	kgmicrobe.strain:ATCC-23762|kgmicrobe.strain:ATCC-7839|kgmicrobe.strain:CCM-2374|kgmicrobe.strain:CIP-103002|kgmicrobe.strain:DSM-46617|kgmicrobe.strain:IAM-1825|kgmicrobe.strain:IFO-3191|kgmicrobe.strain:IMET-10599|kgmicrobe.strain:JCM-20286|kgmicrobe.strain:KCTC-12289|kgmicrobe.strain:LMG-1606|kgmicrobe.strain:NBRC-3191|kgmicrobe.strain:NCIB-7214|kgmicrobe.strain:NCIB-8148|kgmicrobe.strain:NCIMB-7214|kgmicrobe.strain:NCIMB-8148|kgmicrobe.strain:NCTC-7214|kgmicrobe.strain:NRRL-B-65|kgmicrobe.strain:NRRL-B-754|kgmicrobe.strain:VTT-E-74002	0
kgmicrobe.strain:bacdive_6	6	BU 117	NCBITaxon:438	lpsn:772511	kgmicrobe.strain:ATCC-9433|kgmicrobe.strain:CCM-1774|kgmicrobe.strain:DSM-46618|kgmicrobe.strain:IAM-1823|kgmicrobe.strain:JCM-20284|kgmicrobe.strain:LMG-1609|kgmicrobe.strain:LMG-1779|kgmicrobe.strain:NBRC-3189|kgmicrobe.strain:NCIMB-8089|kgmicrobe.strain:NRRL-B-147	0
kgmicrobe.strain:bacdive_7	7	BU 343	NCBITaxon:1226664	lpsn:772511	kgmicrobe.strain:ATCC-6439|kgmicrobe.strain:CCM-1771|kgmicrobe.strain:DSM-46619|kgmicrobe.strain:IAM-1817|kgmicrobe.strain:IFO-3222|kgmicrobe.strain:IMET-10602|kgmicrobe.strain:JCM-20279|kgmicrobe.strain:LMD-39.4|kgmicrobe.strain:LMG-1577|kgmicrobe.strain:Lock-83|kgmicrobe.strain:NBRC-3222|kgmicrobe.strain:NCIB-3924|kgmicrobe.strain:NCIMB-3924|kgmicrobe.strain:NCTC-3924	0
kgmicrobe.strain:bacdive_8	8		NCBITaxon:1231342	lpsn:772509	kgmicrobe.strain:ATCC-12876|kgmicrobe.strain:BCRC-11568|kgmicrobe.strain:CCM-3610|kgmicrobe.strain:CCUG-18126|kgmicrobe.strain:DSM-4492|kgmicrobe.strain:ICMP-8809|kgmicrobe.strain:IFO-13752|kgmicrobe.strain:IMET-10752|kgmicrobe.strain:JCM-7639|kgmicrobe.strain:KCTC-12329|kgmicrobe.strain:LMD-31.3|kgmicrobe.strain:LMG-1282|kgmicrobe.strain:LMG-1583|kgmicrobe.strain:NBRC-13752|kgmicrobe.strain:NCCB-31003|kgmicrobe.strain:NCIMB-8622|kgmicrobe.strain:PDDCC-8809|kgmicrobe.strain:VTT-E-042463	0
kgmicrobe.strain:bacdive_9	9		NCBITaxon:104100	lpsn:772502	kgmicrobe.strain:ATCC-12875|kgmicrobe.strain:CCM-3606|kgmicrobe.strain:CCUG-18127|kgmicrobe.strain:DSM-4491|kgmicrobe.strain:ICMP-8610|kgmicrobe.strain:IFO-13753|kgmicrobe.strain:IMET-10734|kgmicrobe.strain:JCM-17121|kgmicrobe.strain:LMD-31.2|kgmicrobe.strain:LMG-1579|kgmicrobe.strain:LMG-1617|kgmicrobe.strain:NBRC-13753|kgmicrobe.strain:NCCB-31002|kgmicrobe.strain:NCIMB-8620	0
kgmicrobe.strain:bacdive_10	10		NCBITaxon:104097	lpsn:772495	kgmicrobe.strain:ATCC-23753|kgmicrobe.strain:BCRC-12953|kgmicrobe.strain:CCM-3613|kgmicrobe.strain:CCUG-18130|kgmicrobe.strain:DSM-4493|kgmicrobe.strain:IAM-14359|kgmicrobe.strain:IFO-13751|kgmicrobe.strain:JCM-21172|kgmicrobe.strain:LMG-1626|kgmicrobe.strain:NBRC-13751|kgmicrobe.strain:NCIMB-8935	0
kgmicrobe.strain:bacdive_11	11		NCBITaxon:1307917	lpsn:772516	kgmicrobe.strain:CIP-105762|kgmicrobe.strain:DSM-11825|kgmicrobe.strain:LTH-2458	0
kgmicrobe.strain:bacdive_12	12		NCBITaxon:1307903	lpsn:772492	kgmicrobe.strain:ATCC-23765|kgmicrobe.strain:CIP-107722|kgmicrobe.strain:DSM-14362|kgmicrobe.strain:JCM-17273|kgmicrobe.strain:LMG-1625|kgmicrobe.strain:NCIMB-8894|kgmicrobe.strain:VTT-E-042461	0
kgmicrobe.strain:bacdive_13	13		NCBITaxon:1307910	lpsn:772503	kgmicrobe.strain:ATCC-14337|kgmicrobe.strain:BCRC-17641|kgmicrobe.strain:CIP-108768|kgmicrobe.strain:DSM-14337|kgmicrobe.strain:JCM-17274|kgmicrobe.strain:LMG-1746|kgmicrobe.strain:VTT-E-042462	0
kgmicrobe.strain:bacdive_14	14	9H-2	NCBITaxon:1307919	lpsn:772520	kgmicrobe.strain:CIP-107378|kgmicrobe.strain:DSM-15548|kgmicrobe.strain:IFO-16604|kgmicrobe.strain:JCM-11197|kgmicrobe.strain:NBRC-16604|kgmicrobe.strain:NRIC-0483	0
kgmicrobe.strain:bacdive_15	15	4H-1	NCBITaxon:1307904	lpsn:772493	kgmicrobe.strain:CIP-107380|kgmicrobe.strain:DSM-15549|kgmicrobe.strain:IFO-16605|kgmicrobe.strain:JCM-11196|kgmicrobe.strain:NBRC-16605|kgmicrobe.strain:NRIC-0482	0
kgmicrobe.strain:bacdive_16	16	21F-2	NCBITaxon:1307913	lpsn:772508	kgmicrobe.strain:CIP-107379|kgmicrobe.strain:DSM-15550|kgmicrobe.strain:IFO-16606|kgmicrobe.strain:JCM-11195|kgmicrobe.strain:NBRC-16606|kgmicrobe.strain:NRIC-0481	0
kgmicrobe.strain:bacdive_17	17		NCBITaxon:1307920	lpsn:772521	kgmicrobe.strain:BCRC-17166|kgmicrobe.strain:DSM-15551|kgmicrobe.strain:IFO-16470|kgmicrobe.strain:JCM-10947|kgmicrobe.strain:LMG-19825|kgmicrobe.strain:NBRC-16470|kgmicrobe.strain:NRIC-0312	0
kgmicrobe.strain:bacdive_18	18	5H-1	NCBITaxon:1307908	lpsn:772498	kgmicrobe.strain:BCRC-17167|kgmicrobe.strain:DSM-15552|kgmicrobe.strain:IFO-16471|kgmicrobe.strain:JCM-10948|kgmicrobe.strain:LMG-19824|kgmicrobe.strain:NBRC-16471|kgmicrobe.strain:NRIC-0313	0
kgmicrobe.strain:bacdive_19	19	B13	NCBITaxon:1307912	lpsn:783238	kgmicrobe.strain:CECT-5830|kgmicrobe.strain:CIP-109171|kgmicrobe.strain:DSM-23926|kgmicrobe.strain:LMG-21952	0
kgmicrobe.strain:bacdive_20	20	RG1	NCBITaxon:1120919	lpsn:785323	kgmicrobe.strain:BCC-33377|kgmicrobe.strain:BCRC-80095|kgmicrobe.strain:DSM-23921|kgmicrobe.strain:JCM-33644|kgmicrobe.strain:LMG-23498|kgmicrobe.strain:MTCC-6912|kgmicrobe.strain:NBRC-105050|kgmicrobe.strain:NRIC-0976|kgmicrobe.strain:TBRC-15	0
kgmicrobe.strain:bacdive_21	21	CWBI-B418	NCBITaxon:1307918	lpsn:785826	kgmicrobe.strain:DSM-18889|kgmicrobe.strain:LMG-23690	0
kgmicrobe.strain:bacdive_22	22	430A, R-29337	NCBITaxon:1307907	lpsn:785827	kgmicrobe.strain:DSM-18895|kgmicrobe.strain:LMG-23848	0
kgmicrobe.strain:bacdive_23	23	985, R-36330	NCBITaxon:1307906	lpsn:786649	kgmicrobe.strain:DSM-19596|kgmicrobe.strain:LMG-24244	0
