taxon_id	assertion_count
NCBITaxon:100	1
NCBITaxon:1000562	1
NCBITaxon:100133	2
NCBITaxon:1002220	2
NCBITaxon:1002227	2
NCBITaxon:1002367	9
NCBITaxon:1002689	26
NCBITaxon:1002691	22
NCBITaxon:1003091	4
NCBITaxon:1003110	1
NCBITaxon:1004150	1
NCBITaxon:1004261	27
NCBITaxon:1004279	14
NCBITaxon:1004304	20
NCBITaxon:1004316	1
NCBITaxon:1004322	1
NCBITaxon:1004326	1
NCBITaxon:1004583	2
NCBITaxon:100469	3
NCBITaxon:1005	1
NCBITaxon:1005740	23
NCBITaxon:1005926	27
NCBITaxon:1005928	24
NCBITaxon:1005944	25
NCBITaxon:1005945	19
NCBITaxon:1005995	1
NCBITaxon:1005996	1
NCBITaxon:1006000	1
NCBITaxon:1006003	1
NCBITaxon:1006155	18
NCBITaxon:1006576	19
NCBITaxon:1007092	1
NCBITaxon:1007097	26
NCBITaxon:1007098	23
NCBITaxon:1007099	1
NCBITaxon:1007511	21
NCBITaxon:1007516	21
NCBITaxon:1007676	1
NCBITaxon:1008308	24
NCBITaxon:1008392	1
NCBITaxon:1009370	2
NCBITaxon:1009852	1
NCBITaxon:101059	11
NCBITaxon:1010610	10
NCBITaxon:101070	1
NCBITaxon:101571	6
NCBITaxon:101689	3
NCBITaxon:1017184	17
NCBITaxon:1017354	1
NCBITaxon:1018	1
NCBITaxon:102170	2
NCBITaxon:1022	3
NCBITaxon:102226	1
NCBITaxon:102227	1
NCBITaxon:102618	7
NCBITaxon:102619	1
NCBITaxon:102684	1
NCBITaxon:1027249	30
NCBITaxon:1027371	6
NCBITaxon:1027633	24
NCBITaxon:1028	1
NCBITaxon:1028750	1
NCBITaxon:1031541	26
NCBITaxon:1031542	8
NCBITaxon:1031564	4
NCBITaxon:1031594	25
NCBITaxon:1031753	5
NCBITaxon:1032070	4
NCBITaxon:1032238	18
NCBITaxon:1032239	8
NCBITaxon:1032240	13
NCBITaxon:1032241	15
