strain_id	taxon_ids
kgmicrobe.strain:AAB-1	NCBITaxon:2859516
kgmicrobe.strain:AAP-5	NCBITaxon:658225
kgmicrobe.strain:AArc-1	NCBITaxon:2044521
kgmicrobe.strain:ABB-0301	NCBITaxon:288769
kgmicrobe.strain:ABB-0427	NCBITaxon:324767
kgmicrobe.strain:ABB-0430	NCBITaxon:324768
kgmicrobe.strain:ABB-ID-KSY9	NCBITaxon:479474
kgmicrobe.strain:ABE-101	NCBITaxon:1773
kgmicrobe.strain:ABIP-206	NCBITaxon:2233532
kgmicrobe.strain:ABIP-236	NCBITaxon:2654982
kgmicrobe.strain:ABIP-241	NCBITaxon:2654983
kgmicrobe.strain:ACA-DC-205	NCBITaxon:315405
kgmicrobe.strain:ACA-DC-206	NCBITaxon:59310
kgmicrobe.strain:ACAM-1053	NCBITaxon:291193
kgmicrobe.strain:ACAM-1054	NCBITaxon:59602
kgmicrobe.strain:ACAM-1055	NCBITaxon:291184
kgmicrobe.strain:ACAM-1056	NCBITaxon:291187
kgmicrobe.strain:ACAM-1057	NCBITaxon:291188
kgmicrobe.strain:ACAM-1058	NCBITaxon:291186
kgmicrobe.strain:ACAM-1059	NCBITaxon:291189
kgmicrobe.strain:ACAM-1060	NCBITaxon:291191
kgmicrobe.strain:ACAM-1061	NCBITaxon:291190
kgmicrobe.strain:ACAM-1062	NCBITaxon:291192
kgmicrobe.strain:ACAM-1063	NCBITaxon:291180
kgmicrobe.strain:ACAM-1064	NCBITaxon:291182
kgmicrobe.strain:ACAM-1065	NCBITaxon:1353276
kgmicrobe.strain:ACAM-107	NCBITaxon:291188
kgmicrobe.strain:ACAM-1070	NCBITaxon:291179
kgmicrobe.strain:ACAM-12	NCBITaxon:29571
kgmicrobe.strain:ACAM-171	NCBITaxon:102
kgmicrobe.strain:ACAM-179	NCBITaxon:89403
kgmicrobe.strain:ACAM-188	NCBITaxon:1123037
kgmicrobe.strain:ACAM-21	NCBITaxon:29571
kgmicrobe.strain:ACAM-246	NCBITaxon:77097
kgmicrobe.strain:ACAM-282	NCBITaxon:2
kgmicrobe.strain:ACAM-286	NCBITaxon:2
kgmicrobe.strain:ACAM-300	NCBITaxon:45610
kgmicrobe.strain:ACAM-301	NCBITaxon:2
kgmicrobe.strain:ACAM-304	NCBITaxon:45611
kgmicrobe.strain:ACAM-310	NCBITaxon:2
kgmicrobe.strain:ACAM-312	NCBITaxon:1449337
kgmicrobe.strain:ACAM-313	NCBITaxon:1449335
kgmicrobe.strain:ACAM-32	NCBITaxon:2247
kgmicrobe.strain:ACAM-34	NCBITaxon:416348
kgmicrobe.strain:ACAM-345	NCBITaxon:77098
kgmicrobe.strain:ACAM-376	NCBITaxon:37752
kgmicrobe.strain:ACAM-44	NCBITaxon:1189619
kgmicrobe.strain:ACAM-456	NCBITaxon:56813
kgmicrobe.strain:ACAM-459	NCBITaxon:89401
kgmicrobe.strain:ACAM-48	NCBITaxon:143223
kgmicrobe.strain:ACAM-483	NCBITaxon:56810
