taxon_id	organism_count
NCBITaxon:1	3
NCBITaxon:10	1
NCBITaxon:100	5
NCBITaxon:100035	2
NCBITaxon:100044	1
NCBITaxon:100047	1
NCBITaxon:100052	1
NCBITaxon:100053	11
NCBITaxon:1000562	5
NCBITaxon:1000565	1
NCBITaxon:1000566	4
NCBITaxon:1000568	2
NCBITaxon:1000570	4
NCBITaxon:1000588	1
NCBITaxon:1000589	1
NCBITaxon:1000935	1
NCBITaxon:1000936	1
NCBITaxon:1000937	1
NCBITaxon:1000938	1
NCBITaxon:1000939	1
NCBITaxon:1000983	1
NCBITaxon:1001	5
NCBITaxon:1001240	2
NCBITaxon:100133	1
NCBITaxon:100134	2
NCBITaxon:1001530	1
NCBITaxon:1001534	1
NCBITaxon:1001542	1
NCBITaxon:1001585	1
NCBITaxon:1001586	1
NCBITaxon:1001587	2
NCBITaxon:1001588	1
NCBITaxon:1001589	1
NCBITaxon:1001590	1
NCBITaxon:1001591	1
NCBITaxon:1001592	1
NCBITaxon:1001593	1
NCBITaxon:1001594	1
NCBITaxon:1001595	1
NCBITaxon:1001596	1
NCBITaxon:1001597	1
NCBITaxon:1001598	2
NCBITaxon:1001599	1
NCBITaxon:1001600	1
NCBITaxon:1001601	1
NCBITaxon:1001602	1
NCBITaxon:1001603	1
NCBITaxon:1001692	1
NCBITaxon:1001704	1
NCBITaxon:1001705	1
NCBITaxon:1001706	1
NCBITaxon:1001707	1
NCBITaxon:1001708	1
NCBITaxon:1001709	1
NCBITaxon:1001710	1
NCBITaxon:1001711	1
NCBITaxon:1001712	1
NCBITaxon:1001713	1
NCBITaxon:1001714	5
NCBITaxon:100174	2
NCBITaxon:1001744	1
NCBITaxon:1001746	1
NCBITaxon:1001747	1
NCBITaxon:1001760	1
NCBITaxon:1001761	1
NCBITaxon:1001762	1
NCBITaxon:1001768	1
NCBITaxon:100177	3
NCBITaxon:1001822	1
NCBITaxon:1001986	1
NCBITaxon:1001987	1
NCBITaxon:1001994	1
NCBITaxon:1002	10
NCBITaxon:1002210	1
NCBITaxon:1002227	4
NCBITaxon:100225	7
NCBITaxon:100226	17
NCBITaxon:1002339	1
NCBITaxon:1002367	1
NCBITaxon:1002526	1
NCBITaxon:1002689	3
