gtdb_id	label	parent	genome_count
GTDB:s__0-14-0-10-38-17_sp002774085	s__0-14-0-10-38-17_sp002774085	GTDB:g__0-14-0-10-38-17	1
GTDB:s__0-14-0-20-30-16_sp002779075	s__0-14-0-20-30-16_sp002779075	GTDB:g__0-14-0-20-30-16	1
GTDB:s__0-14-0-20-30-16_sp903916665	s__0-14-0-20-30-16_sp903916665	GTDB:g__0-14-0-20-30-16	1
GTDB:s__0-14-0-20-30-16_sp964565725	s__0-14-0-20-30-16_sp964565725	GTDB:g__0-14-0-20-30-16	1
GTDB:s__0-14-0-20-30-16_sp964595665	s__0-14-0-20-30-16_sp964595665	GTDB:g__0-14-0-20-30-16	1
GTDB:s__0-14-0-20-34-12_sp002779065	s__0-14-0-20-34-12_sp002779065	GTDB:g__0-14-0-20-34-12	1
GTDB:s__0-14-0-20-34-12_sp038046645	s__0-14-0-20-34-12_sp038046645	GTDB:g__0-14-0-20-34-12	2
GTDB:s__0-14-0-20-40-13_sp002774285	s__0-14-0-20-40-13_sp002774285	GTDB:g__0-14-0-20-40-13	1
GTDB:s__0-14-0-20-44-26_sp002779055	s__0-14-0-20-44-26_sp002779055	GTDB:g__0-14-0-20-44-26	1
GTDB:s__0-14-0-20-45-22_sp002774355	s__0-14-0-20-45-22_sp002774355	GTDB:g__0-14-0-20-45-22	1
GTDB:s__0-14-0-20-45-22_sp028719225	s__0-14-0-20-45-22_sp028719225	GTDB:g__0-14-0-20-45-22	1
GTDB:s__0-14-0-20-45-22_sp041645495	s__0-14-0-20-45-22_sp041645495	GTDB:g__0-14-0-20-45-22	1
GTDB:s__0-14-0-20-51-18_sp002774685	s__0-14-0-20-51-18_sp002774685	GTDB:g__0-14-0-20-51-18	1
GTDB:s__0-14-0-80-44-23_sp002779235	s__0-14-0-80-44-23_sp002779235	GTDB:g__0-14-0-80-44-23	1
GTDB:s__0-14-0-80-44-23_sp038874135	s__0-14-0-80-44-23_sp038874135	GTDB:g__0-14-0-80-44-23	7
GTDB:s__0-14-0-80-59-12_sp002779395	s__0-14-0-80-59-12_sp002779395	GTDB:g__0-14-0-80-59-12	1
GTDB:s__0-14-0-80-60-11_sp002779455	s__0-14-0-80-60-11_sp002779455	GTDB:g__0-14-0-80-60-11	1
GTDB:s__0-14-0-80-60-11_sp016875015	s__0-14-0-80-60-11_sp016875015	GTDB:g__0-14-0-80-60-11	1
GTDB:s__0-14-0-80-60-11_sp018897875	s__0-14-0-80-60-11_sp018897875	GTDB:g__0-14-0-80-60-11	3
GTDB:s__0-14-0-80-60-11_sp020052215	s__0-14-0-80-60-11_sp020052215	GTDB:g__0-14-0-80-60-11	1
GTDB:s__0-14-0-80-60-11_sp023229795	s__0-14-0-80-60-11_sp023229795	GTDB:g__0-14-0-80-60-11	1
GTDB:s__0-14-0-80-60-11_sp030655955	s__0-14-0-80-60-11_sp030655955	GTDB:g__0-14-0-80-60-11	1
GTDB:s__0-14-0-80-60-11_sp037381685	s__0-14-0-80-60-11_sp037381685	GTDB:g__0-14-0-80-60-11	1
GTDB:s__0-14-0-80-60-11_sp041648175	s__0-14-0-80-60-11_sp041648175	GTDB:g__0-14-0-80-60-11	1
GTDB:s__0-14-0-80-60-11_sp041650575	s__0-14-0-80-60-11_sp041650575	GTDB:g__0-14-0-80-60-11	1
GTDB:s__0-14-0-80-60-11_sp049322355	s__0-14-0-80-60-11_sp049322355	GTDB:g__0-14-0-80-60-11	1
GTDB:s__0-14-0-80-60-11_sp049696835	s__0-14-0-80-60-11_sp049696835	GTDB:g__0-14-0-80-60-11	1
GTDB:s__0-14-0-80-60-11_sp052139855	s__0-14-0-80-60-11_sp052139855	GTDB:g__0-14-0-80-60-11	2
GTDB:s__0-14-0-80-60-11_sp963747645	s__0-14-0-80-60-11_sp963747645	GTDB:g__0-14-0-80-60-11	1
GTDB:s__0-14-0-80-60-11_sp963766185	s__0-14-0-80-60-11_sp963766185	GTDB:g__0-14-0-80-60-11	1
GTDB:s__0-14-0-80-60-11_sp963812015	s__0-14-0-80-60-11_sp963812015	GTDB:g__0-14-0-80-60-11	2
GTDB:s__0-14-0-80-60-11_sp963841475	s__0-14-0-80-60-11_sp963841475	GTDB:g__0-14-0-80-60-11	1
GTDB:s__0-14-0-80-60-11_sp963848565	s__0-14-0-80-60-11_sp963848565	GTDB:g__0-14-0-80-60-11	1
GTDB:s__0-14-0-80-60-11_sp964398095	s__0-14-0-80-60-11_sp964398095	GTDB:g__0-14-0-80-60-11	1
GTDB:s__0-14-3-00-41-53_sp002780895	s__0-14-3-00-41-53_sp002780895	GTDB:g__0-14-3-00-41-53	7
GTDB:s__0-14-3-00-41-53_sp041500225	s__0-14-3-00-41-53_sp041500225	GTDB:g__0-14-3-00-41-53	4
GTDB:s__0-14-3-00-62-12_sp002785585	s__0-14-3-00-62-12_sp002785585	GTDB:g__0-14-3-00-62-12	1
GTDB:s__0-14-3-00-62-12_sp022843465	s__0-14-3-00-62-12_sp022843465	GTDB:g__0-14-3-00-62-12	1
GTDB:s__0-14-3-00-62-12_sp031389245	s__0-14-3-00-62-12_sp031389245	GTDB:g__0-14-3-00-62-12	2
GTDB:s__0-14-3-00-62-12_sp031391205	s__0-14-3-00-62-12_sp031391205	GTDB:g__0-14-3-00-62-12	1
GTDB:s__0-14-3-00-62-12_sp034440555	s__0-14-3-00-62-12_sp034440555	GTDB:g__0-14-3-00-62-12	2
GTDB:s__0-14-3-00-62-12_sp038255435	s__0-14-3-00-62-12_sp038255435	GTDB:g__0-14-3-00-62-12	1
GTDB:s__0-14-3-00-62-12_sp041741075	s__0-14-3-00-62-12_sp041741075	GTDB:g__0-14-3-00-62-12	1
GTDB:s__0-14-3-00-62-12_sp043738015	s__0-14-3-00-62-12_sp043738015	GTDB:g__0-14-3-00-62-12	1
GTDB:s__0-14-3-00-62-12_sp050173995	s__0-14-3-00-62-12_sp050173995	GTDB:g__0-14-3-00-62-12	3
GTDB:s__01-FULL-36-10b_sp001785725	s__01-FULL-36-10b_sp001785725	GTDB:g__01-FULL-36-10b	1
GTDB:s__01-FULL-36-15b_sp001782035	s__01-FULL-36-15b_sp001782035	GTDB:g__01-FULL-36-15b	2
GTDB:s__01-FULL-36-15b_sp001782045	s__01-FULL-36-15b_sp001782045	GTDB:g__01-FULL-36-15b	1
GTDB:s__01-FULL-39-12b_sp001780955	s__01-FULL-39-12b_sp001780955	GTDB:g__01-FULL-39-12b	1
GTDB:s__01-FULL-43-11b_sp001780985	s__01-FULL-43-11b_sp001780985	GTDB:g__01-FULL-43-11b	1
GTDB:s__01-FULL-43-11b_sp964432705	s__01-FULL-43-11b_sp964432705	GTDB:g__01-FULL-43-11b	1
GTDB:s__01-FULL-43-15b_sp001816385	s__01-FULL-43-15b_sp001816385	GTDB:g__01-FULL-43-15b	1
GTDB:s__01-FULL-43-15b_sp964472675	s__01-FULL-43-15b_sp964472675	GTDB:g__01-FULL-43-15b	1
GTDB:s__01-FULL-44-24b_sp001793235	s__01-FULL-44-24b_sp001793235	GTDB:g__01-FULL-44-24b	2
GTDB:s__01-FULL-44-24b_sp041742135	s__01-FULL-44-24b_sp041742135	GTDB:g__01-FULL-44-24b	1
GTDB:s__01-FULL-45-10b_sp001804205	s__01-FULL-45-10b_sp001804205	GTDB:g__01-FULL-45-10b	2
GTDB:s__01-FULL-45-10b_sp016177155	s__01-FULL-45-10b_sp016177155	GTDB:g__01-FULL-45-10b	1
GTDB:s__01-FULL-45-10b_sp016206815	s__01-FULL-45-10b_sp016206815	GTDB:g__01-FULL-45-10b	1
GTDB:s__01-FULL-45-10b_sp016206945	s__01-FULL-45-10b_sp016206945	GTDB:g__01-FULL-45-10b	1
GTDB:s__01-FULL-45-10b_sp016206955	s__01-FULL-45-10b_sp016206955	GTDB:g__01-FULL-45-10b	1
GTDB:s__01-FULL-45-10b_sp964587285	s__01-FULL-45-10b_sp964587285	GTDB:g__01-FULL-45-10b	1
