taxon_id	assertion_count
NCBITaxon:100	4
NCBITaxon:100053	2
NCBITaxon:1000560	5
NCBITaxon:1000561	5
NCBITaxon:1000562	1
NCBITaxon:1000565	3
NCBITaxon:1000566	1
NCBITaxon:1000567	5
NCBITaxon:1000568	1
NCBITaxon:1000569	1
NCBITaxon:1000570	5
NCBITaxon:1000588	1
NCBITaxon:1000589	1
NCBITaxon:1000590	1
NCBITaxon:1000935	3
NCBITaxon:1000936	3
NCBITaxon:1000937	3
NCBITaxon:1000938	3
NCBITaxon:1000939	3
NCBITaxon:1000950	5
NCBITaxon:1000951	5
NCBITaxon:1000952	5
NCBITaxon:1000953	5
NCBITaxon:1001	1
NCBITaxon:1001223	1
NCBITaxon:1001224	1
NCBITaxon:1001240	11
NCBITaxon:100133	1
NCBITaxon:100134	2
NCBITaxon:1001530	1
NCBITaxon:1001534	5
NCBITaxon:1001542	1
NCBITaxon:1001582	4
NCBITaxon:1001585	6
NCBITaxon:1001586	5
NCBITaxon:1001587	5
NCBITaxon:1001588	5
NCBITaxon:1001589	5
NCBITaxon:1001590	5
NCBITaxon:1001591	5
NCBITaxon:1001592	5
NCBITaxon:1001593	5
NCBITaxon:1001594	5
NCBITaxon:1001595	2
NCBITaxon:1001596	5
NCBITaxon:1001597	5
NCBITaxon:1001598	5
NCBITaxon:1001599	5
NCBITaxon:1001600	1
NCBITaxon:1001601	5
NCBITaxon:1001602	5
NCBITaxon:1001603	5
NCBITaxon:1001704	1
NCBITaxon:1001705	1
NCBITaxon:1001706	1
NCBITaxon:1001707	1
NCBITaxon:1001708	1
NCBITaxon:1001709	1
NCBITaxon:1001710	1
NCBITaxon:1001711	1
NCBITaxon:1001712	1
NCBITaxon:1001713	1
NCBITaxon:1001714	1
NCBITaxon:1001715	1
NCBITaxon:1001716	1
NCBITaxon:1001717	1
NCBITaxon:1001718	1
NCBITaxon:1001719	1
NCBITaxon:1001720	1
NCBITaxon:1001721	1
NCBITaxon:1001722	1
NCBITaxon:1001723	1
NCBITaxon:1001724	1
NCBITaxon:1001725	1
NCBITaxon:1001726	1
NCBITaxon:1001727	1
NCBITaxon:1001728	1
NCBITaxon:1001729	1
NCBITaxon:1001730	1
NCBITaxon:1001731	1
NCBITaxon:1001732	1
NCBITaxon:1001733	1
NCBITaxon:1001734	1
NCBITaxon:1001735	1
NCBITaxon:1001736	1
NCBITaxon:1001737	1
NCBITaxon:1001738	1
NCBITaxon:1001739	1
NCBITaxon:100174	1
NCBITaxon:1001740	1
NCBITaxon:1001741	1
NCBITaxon:1001744	1
NCBITaxon:1001745	1
NCBITaxon:1001746	1
NCBITaxon:1001747	1
NCBITaxon:100177	2
NCBITaxon:1001986	5
NCBITaxon:1001987	5
NCBITaxon:1001988	1
NCBITaxon:1001989	2
NCBITaxon:1001990	1
NCBITaxon:1001991	1
NCBITaxon:1001992	1
NCBITaxon:1001994	2
NCBITaxon:1002	1
NCBITaxon:100225	3
NCBITaxon:100226	7
NCBITaxon:1002339	4
NCBITaxon:1002340	3
NCBITaxon:1002364	4
NCBITaxon:1002365	4
NCBITaxon:1002366	5
NCBITaxon:1002367	5
NCBITaxon:1002368	1
NCBITaxon:1002369	1
NCBITaxon:1002526	8
NCBITaxon:1002672	3
NCBITaxon:1002795	21
NCBITaxon:1002804	1
NCBITaxon:1002805	1
NCBITaxon:1002809	1
NCBITaxon:1002870	2
NCBITaxon:1003	2
NCBITaxon:1003091	14
NCBITaxon:1003092	7
NCBITaxon:1003110	4
NCBITaxon:1003181	3
NCBITaxon:1003195	1
NCBITaxon:1003200	4
NCBITaxon:1003201	1
NCBITaxon:1003202	1
NCBITaxon:1003237	3
NCBITaxon:1003238	3
NCBITaxon:1003239	5
NCBITaxon:100379	4
NCBITaxon:1004	3
NCBITaxon:1004149	1
NCBITaxon:1004151	5
NCBITaxon:1004152	1
NCBITaxon:1004153	5
NCBITaxon:1004156	2
NCBITaxon:1004261	15
NCBITaxon:1004279	16
NCBITaxon:1004304	24
NCBITaxon:1004316	2
NCBITaxon:1004326	5
NCBITaxon:100468	1
NCBITaxon:100469	3
NCBITaxon:1004785	5
NCBITaxon:1004786	5
NCBITaxon:1004787	5
NCBITaxon:1004788	5
NCBITaxon:1004836	5
NCBITaxon:1004951	1
NCBITaxon:1004952	1
NCBITaxon:1004953	1
NCBITaxon:1004954	6
NCBITaxon:1004955	5
NCBITaxon:1004956	5
NCBITaxon:1004957	5
NCBITaxon:1005041	1
NCBITaxon:1005042	1
NCBITaxon:1005043	1
NCBITaxon:1005046	1
NCBITaxon:1005048	6
NCBITaxon:1005057	1
NCBITaxon:1005058	1
NCBITaxon:1005090	1
NCBITaxon:1005395	3
NCBITaxon:1005396	1
NCBITaxon:1005397	1
NCBITaxon:1005398	1
NCBITaxon:1005399	1
NCBITaxon:1005400	1
NCBITaxon:1005401	1
NCBITaxon:1005402	1
NCBITaxon:1005403	1
NCBITaxon:1005404	1
NCBITaxon:1005405	1
NCBITaxon:1005406	1
NCBITaxon:1005407	1
NCBITaxon:1005408	1
NCBITaxon:1005410	1
NCBITaxon:1005411	1
NCBITaxon:1005412	1
NCBITaxon:1005413	1
NCBITaxon:1005414	1
NCBITaxon:1005415	1
NCBITaxon:1005416	1
NCBITaxon:1005418	1
NCBITaxon:1005419	1
NCBITaxon:1005420	1
NCBITaxon:1005421	1
NCBITaxon:1005422	1
NCBITaxon:1005423	1
NCBITaxon:1005424	1
NCBITaxon:1005430	1
NCBITaxon:1005431	1
NCBITaxon:1005432	1
NCBITaxon:1005433	1
NCBITaxon:1005434	1
NCBITaxon:1005435	1
NCBITaxon:1005436	1
NCBITaxon:1005437	1
NCBITaxon:1005438	1
NCBITaxon:1005439	1
NCBITaxon:1005440	1
NCBITaxon:1005441	1
NCBITaxon:1005442	1
NCBITaxon:1005443	1
NCBITaxon:1005444	1
NCBITaxon:1005445	1
NCBITaxon:1005446	1
NCBITaxon:1005447	1
NCBITaxon:1005448	1
NCBITaxon:1005449	1
NCBITaxon:1005450	1
NCBITaxon:1005451	1
NCBITaxon:1005452	1
NCBITaxon:1005453	1
NCBITaxon:1005454	1
NCBITaxon:1005455	1
NCBITaxon:1005456	1
NCBITaxon:1005457	1
NCBITaxon:1005458	1
NCBITaxon:1005459	1
NCBITaxon:1005460	1
NCBITaxon:1005461	1
NCBITaxon:1005462	1
NCBITaxon:1005463	1
NCBITaxon:1005464	1
NCBITaxon:1005465	1
NCBITaxon:1005466	1
NCBITaxon:1005467	1
NCBITaxon:1005468	1
NCBITaxon:1005469	1
NCBITaxon:1005470	2
NCBITaxon:1005471	1
NCBITaxon:1005472	2
NCBITaxon:1005473	1
NCBITaxon:1005474	2
NCBITaxon:1005475	1
NCBITaxon:1005476	1
NCBITaxon:1005477	2
NCBITaxon:1005478	1
NCBITaxon:1005479	2
NCBITaxon:1005480	2
NCBITaxon:1005481	1
NCBITaxon:1005482	2
NCBITaxon:1005483	2
NCBITaxon:1005484	2
NCBITaxon:1005485	2
NCBITaxon:1005486	2
NCBITaxon:1005487	1
NCBITaxon:1005488	1
NCBITaxon:1005489	2
NCBITaxon:1005490	1
NCBITaxon:1005491	2
NCBITaxon:1005492	1
NCBITaxon:1005493	1
NCBITaxon:1005494	1
NCBITaxon:1005495	1
NCBITaxon:1005496	1
NCBITaxon:1005497	1
NCBITaxon:1005498	2
NCBITaxon:1005499	1
NCBITaxon:1005500	1
NCBITaxon:1005501	1
NCBITaxon:1005502	1
NCBITaxon:1005503	1
NCBITaxon:1005504	1
NCBITaxon:1005505	2
NCBITaxon:1005506	2
NCBITaxon:1005507	1
NCBITaxon:1005508	1
NCBITaxon:1005509	1
NCBITaxon:1005510	1
NCBITaxon:1005511	2
NCBITaxon:1005512	1
NCBITaxon:1005513	1
NCBITaxon:1005514	2
NCBITaxon:1005515	1
NCBITaxon:1005516	1
NCBITaxon:1005517	1
NCBITaxon:1005518	1
NCBITaxon:1005519	1
NCBITaxon:1005520	1
NCBITaxon:1005521	1
NCBITaxon:1005522	1
NCBITaxon:1005523	1
NCBITaxon:1005524	1
NCBITaxon:1005526	1
NCBITaxon:1005527	1
NCBITaxon:1005528	1
NCBITaxon:1005529	1
NCBITaxon:1005530	1
NCBITaxon:1005531	1
NCBITaxon:1005532	1
NCBITaxon:1005533	1
NCBITaxon:1005534	1
NCBITaxon:1005535	1
NCBITaxon:1005536	1
NCBITaxon:1005537	1
NCBITaxon:1005538	2
NCBITaxon:1005539	2
NCBITaxon:1005540	1
NCBITaxon:1005541	2
NCBITaxon:1005542	2
NCBITaxon:1005543	2
NCBITaxon:1005544	2
NCBITaxon:1005545	2
NCBITaxon:1005546	2
NCBITaxon:1005547	2
NCBITaxon:1005548	1
NCBITaxon:1005549	2
NCBITaxon:1005550	2
NCBITaxon:1005551	2
NCBITaxon:1005552	2
NCBITaxon:1005553	2
NCBITaxon:1005554	2
NCBITaxon:1005555	2
NCBITaxon:1005556	1
NCBITaxon:1005557	1
NCBITaxon:1005558	1
NCBITaxon:1005559	1
NCBITaxon:1005560	2
NCBITaxon:1005561	1
NCBITaxon:1005562	1
NCBITaxon:1005563	1
NCBITaxon:1005564	2
NCBITaxon:1005565	1
NCBITaxon:1005566	1
NCBITaxon:1005567	1
NCBITaxon:1005703	6
NCBITaxon:1005704	1
NCBITaxon:1005705	1
NCBITaxon:1005706	1
NCBITaxon:1005740	12
NCBITaxon:1005925	27
NCBITaxon:1005926	14
NCBITaxon:1005928	13
NCBITaxon:1005941	3
NCBITaxon:1005944	17
NCBITaxon:1005945	15
NCBITaxon:1005994	1
NCBITaxon:1005995	1
NCBITaxon:1005996	4
NCBITaxon:1005999	4
NCBITaxon:1006	3
NCBITaxon:1006000	3
NCBITaxon:1006003	4
NCBITaxon:1006004	1
NCBITaxon:1006005	1
NCBITaxon:1006006	4
NCBITaxon:1006007	5
NCBITaxon:1006155	20
NCBITaxon:1006543	5
NCBITaxon:1006551	1
NCBITaxon:1006554	2
NCBITaxon:1006576	7
NCBITaxon:1006580	1
NCBITaxon:1006581	1
NCBITaxon:1006598	1
NCBITaxon:1007064	5
NCBITaxon:1007065	1
NCBITaxon:1007084	1
NCBITaxon:1007096	1
NCBITaxon:1007097	19
NCBITaxon:1007098	14
NCBITaxon:1007103	1
NCBITaxon:1007104	5
NCBITaxon:1007105	2
NCBITaxon:1007119	2
NCBITaxon:1007123	2
NCBITaxon:100716	3
NCBITaxon:1007511	15
NCBITaxon:1007516	16
NCBITaxon:100761	2
NCBITaxon:100762	5
NCBITaxon:1007654	1
NCBITaxon:1007656	1
NCBITaxon:100767	5
NCBITaxon:1007676	2
NCBITaxon:1007870	1
NCBITaxon:1007871	1
NCBITaxon:1008	2
NCBITaxon:1008297	1
NCBITaxon:1008298	1
NCBITaxon:1008308	8
NCBITaxon:1008452	1
NCBITaxon:1008453	1
NCBITaxon:1008454	1
NCBITaxon:1008457	1
NCBITaxon:1008459	1
NCBITaxon:1008460	6
NCBITaxon:100868	5
NCBITaxon:100884	1
NCBITaxon:100886	3
NCBITaxon:100901	2
NCBITaxon:1009370	4
NCBITaxon:1009426	2
NCBITaxon:1009464	3
NCBITaxon:1009714	3
NCBITaxon:1009845	1
NCBITaxon:1009846	5
NCBITaxon:1009852	2
NCBITaxon:1009853	2
NCBITaxon:1009854	2
NCBITaxon:1009856	1
NCBITaxon:1009857	1
NCBITaxon:1009858	1
NCBITaxon:1009859	1
NCBITaxon:1010	1
NCBITaxon:101059	1
NCBITaxon:1010610	11
NCBITaxon:1010611	1
NCBITaxon:101070	2
NCBITaxon:1010795	1
NCBITaxon:1010796	1
NCBITaxon:1010804	6
NCBITaxon:1010805	6
NCBITaxon:1010806	6
NCBITaxon:1010807	6
NCBITaxon:1010808	6
NCBITaxon:1010809	6
NCBITaxon:1010810	6
NCBITaxon:1010811	6
NCBITaxon:1010812	6
NCBITaxon:1010813	6
NCBITaxon:1010814	4
NCBITaxon:1010815	5
NCBITaxon:1010816	5
NCBITaxon:1010817	7
NCBITaxon:1010818	5
NCBITaxon:1010819	6
NCBITaxon:1010820	6
NCBITaxon:1010821	5
NCBITaxon:1010822	5
NCBITaxon:1010823	5
NCBITaxon:1010824	5
NCBITaxon:1010825	5
NCBITaxon:1010834	1
NCBITaxon:1010838	4
NCBITaxon:1010840	1
NCBITaxon:101192	10
NCBITaxon:101383	2
NCBITaxon:101385	4
NCBITaxon:1014	4
NCBITaxon:101489	2
NCBITaxon:1015	5
NCBITaxon:101510	8
NCBITaxon:101534	2
NCBITaxon:101564	4
NCBITaxon:101571	2
NCBITaxon:101689	5
NCBITaxon:1016998	7
NCBITaxon:1017	3
NCBITaxon:1017018	4
NCBITaxon:1017021	6
NCBITaxon:1017022	5
NCBITaxon:1017023	1
NCBITaxon:1017024	1
NCBITaxon:1017025	1
NCBITaxon:1017026	4
NCBITaxon:1017027	1
NCBITaxon:1017028	1
NCBITaxon:1017029	1
NCBITaxon:1017030	1
NCBITaxon:1017095	6
NCBITaxon:1017177	10
NCBITaxon:1017181	9
NCBITaxon:1017184	12
NCBITaxon:1017264	4
NCBITaxon:1017265	4
NCBITaxon:1017266	4
NCBITaxon:1017273	4
NCBITaxon:1017351	11
NCBITaxon:1018	4
NCBITaxon:1019	4
NCBITaxon:102	3
NCBITaxon:102109	3
NCBITaxon:102116	3
NCBITaxon:102125	4
NCBITaxon:102127	1
NCBITaxon:102129	7
NCBITaxon:102134	3
NCBITaxon:102148	3
NCBITaxon:102170	1
NCBITaxon:1022	3
NCBITaxon:102226	1
NCBITaxon:102227	2
NCBITaxon:102232	3
NCBITaxon:102235	3
