taxon_id	medium_count	media_ids
NCBITaxon:100	5	mediadive.medium:428|mediadive.medium:7|mediadive.medium:81|mediadive.medium:J346|mediadive.medium:J349
NCBITaxon:1000562	2	mediadive.medium:693|mediadive.medium:92
NCBITaxon:1000568	2	mediadive.medium:110|mediadive.medium:693
NCBITaxon:1001	1	mediadive.medium:668
NCBITaxon:100133	1	mediadive.medium:860
NCBITaxon:100177	1	mediadive.medium:403
NCBITaxon:1002220	1	mediadive.medium:1036
NCBITaxon:1002227	1	mediadive.medium:1122
NCBITaxon:1002367	4	mediadive.medium:104|mediadive.medium:1203a|mediadive.medium:693|mediadive.medium:J14
NCBITaxon:1002689	1	mediadive.medium:1426
NCBITaxon:1002691	1	mediadive.medium:1426
NCBITaxon:1003	1	mediadive.medium:357
NCBITaxon:1003091	2	mediadive.medium:1|mediadive.medium:125
NCBITaxon:1003110	4	mediadive.medium:252|mediadive.medium:553|mediadive.medium:65|mediadive.medium:J61
NCBITaxon:1003997	2	mediadive.medium:1684|mediadive.medium:J1052
NCBITaxon:1004150	1	mediadive.medium:535
NCBITaxon:1004159	4	mediadive.medium:1|mediadive.medium:1c|mediadive.medium:535|mediadive.medium:545
NCBITaxon:1004165	2	mediadive.medium:1|mediadive.medium:535
NCBITaxon:1004166	4	mediadive.medium:1|mediadive.medium:1a|mediadive.medium:1c|mediadive.medium:535
NCBITaxon:1004260	1	mediadive.medium:693
NCBITaxon:1004261	3	mediadive.medium:1081|mediadive.medium:J181|mediadive.medium:J455
NCBITaxon:1004279	1	mediadive.medium:98
NCBITaxon:1004304	1	mediadive.medium:830
NCBITaxon:1004305	1	mediadive.medium:1592
NCBITaxon:1004316	1	mediadive.medium:514
NCBITaxon:1004322	2	mediadive.medium:514c|mediadive.medium:514f
NCBITaxon:1004326	1	mediadive.medium:514
NCBITaxon:1004583	1	mediadive.medium:104
NCBITaxon:100468	1	mediadive.medium:11
NCBITaxon:100469	2	mediadive.medium:1203|mediadive.medium:693
NCBITaxon:1005	2	mediadive.medium:1039|mediadive.medium:359
NCBITaxon:1005740	2	mediadive.medium:503|mediadive.medium:J940
NCBITaxon:1005926	2	mediadive.medium:514|mediadive.medium:J118
NCBITaxon:1005928	2	mediadive.medium:514|mediadive.medium:J118
NCBITaxon:1005944	2	mediadive.medium:830|mediadive.medium:J346
NCBITaxon:1005945	2	mediadive.medium:830|mediadive.medium:J346
NCBITaxon:1005994	3	mediadive.medium:220|mediadive.medium:535|mediadive.medium:J75
NCBITaxon:1005995	1	mediadive.medium:215
NCBITaxon:1005996	2	mediadive.medium:1|mediadive.medium:J12
NCBITaxon:1005999	2	mediadive.medium:1|mediadive.medium:J12
NCBITaxon:1006000	3	mediadive.medium:1|mediadive.medium:693|mediadive.medium:J75
NCBITaxon:1006003	4	mediadive.medium:693|mediadive.medium:92|mediadive.medium:J27|mediadive.medium:J75
NCBITaxon:1006004	4	mediadive.medium:1|mediadive.medium:535|mediadive.medium:J12|mediadive.medium:J22
NCBITaxon:1006155	2	mediadive.medium:215|mediadive.medium:693
NCBITaxon:1006576	2	mediadive.medium:1328|mediadive.medium:J844
NCBITaxon:1007092	2	mediadive.medium:830|mediadive.medium:J346
NCBITaxon:1007097	2	mediadive.medium:65|mediadive.medium:J505
NCBITaxon:1007098	3	mediadive.medium:1484|mediadive.medium:830|mediadive.medium:J443
