old_taxon_id	current_taxon_id
NCBITaxon:1000	NCBITaxon:107401
NCBITaxon:100031	NCBITaxon:2153283
NCBITaxon:1000424	NCBITaxon:52477
NCBITaxon:1000427	NCBITaxon:193300
NCBITaxon:1000431	NCBITaxon:97029
NCBITaxon:100054	NCBITaxon:155906
NCBITaxon:1000563	NCBITaxon:1277936
NCBITaxon:1000585	NCBITaxon:3052486
NCBITaxon:1001033	NCBITaxon:1150297
NCBITaxon:1001040	NCBITaxon:1326964
NCBITaxon:1001041	NCBITaxon:1326965
NCBITaxon:1001055	NCBITaxon:71897
NCBITaxon:1001066	NCBITaxon:278571
NCBITaxon:1001067	NCBITaxon:130167
NCBITaxon:1001076	NCBITaxon:171972
NCBITaxon:1001077	NCBITaxon:130161
NCBITaxon:1001082	NCBITaxon:983930
NCBITaxon:1001089	NCBITaxon:130151
NCBITaxon:1001096	NCBITaxon:3344587
NCBITaxon:1001097	NCBITaxon:2800985
NCBITaxon:1001098	NCBITaxon:432480
NCBITaxon:1001126	NCBITaxon:432466
NCBITaxon:1001171	NCBITaxon:1001742
NCBITaxon:1001241	NCBITaxon:1001240
NCBITaxon:1001242	NCBITaxon:1001240
NCBITaxon:1001243	NCBITaxon:1001244
NCBITaxon:1001262	NCBITaxon:63601
NCBITaxon:1001263	NCBITaxon:2169841
NCBITaxon:10013	NCBITaxon:3774380
NCBITaxon:1001309	NCBITaxon:2847830
NCBITaxon:1001322	NCBITaxon:2847830
NCBITaxon:1001327	NCBITaxon:1738547
NCBITaxon:1001329	NCBITaxon:1050265
NCBITaxon:1001347	NCBITaxon:1130791
NCBITaxon:1001348	NCBITaxon:1130792
NCBITaxon:1001381	NCBITaxon:858893
NCBITaxon:100141	NCBITaxon:100163
NCBITaxon:100142	NCBITaxon:3926
NCBITaxon:100144	NCBITaxon:54458
NCBITaxon:100154	NCBITaxon:53625
NCBITaxon:100155	NCBITaxon:62121
NCBITaxon:1001584	NCBITaxon:948565
NCBITaxon:1001604	NCBITaxon:2686024
NCBITaxon:1001607	NCBITaxon:859144
NCBITaxon:100161	NCBITaxon:53864
NCBITaxon:100162	NCBITaxon:56063
NCBITaxon:1001626	NCBITaxon:389304
NCBITaxon:1001632	NCBITaxon:757029
NCBITaxon:1001647	NCBITaxon:1405387
NCBITaxon:100166	NCBITaxon:104316
NCBITaxon:1001689	NCBITaxon:986261
NCBITaxon:1001695	NCBITaxon:290622
NCBITaxon:1001859	NCBITaxon:72144
NCBITaxon:1001886	NCBITaxon:1481923
NCBITaxon:1001911	NCBITaxon:1707807
NCBITaxon:1001930	NCBITaxon:1772095
NCBITaxon:1001932	NCBITaxon:3358817
NCBITaxon:1001962	NCBITaxon:1916785
NCBITaxon:1001984	NCBITaxon:2838851
NCBITaxon:1002106	NCBITaxon:2516357
NCBITaxon:1002168	NCBITaxon:1240222
NCBITaxon:1002169	NCBITaxon:1240222
NCBITaxon:1002170	NCBITaxon:1240222
NCBITaxon:1002171	NCBITaxon:1240222
NCBITaxon:1002172	NCBITaxon:1240222
NCBITaxon:1002173	NCBITaxon:1240222
NCBITaxon:1002174	NCBITaxon:1240221
NCBITaxon:1002175	NCBITaxon:1240221
NCBITaxon:100218	NCBITaxon:84739
NCBITaxon:1002189	NCBITaxon:246416
NCBITaxon:1002190	NCBITaxon:246429
NCBITaxon:1002191	NCBITaxon:246425
NCBITaxon:1002192	NCBITaxon:246424
NCBITaxon:1002194	NCBITaxon:246420
NCBITaxon:1002197	NCBITaxon:246428
NCBITaxon:1002198	NCBITaxon:246423
NCBITaxon:100223	NCBITaxon:75566
NCBITaxon:100232	NCBITaxon:9906
NCBITaxon:10024	NCBITaxon:33553
NCBITaxon:1002503	NCBITaxon:696197
NCBITaxon:1002524	NCBITaxon:2747791
NCBITaxon:1002690	NCBITaxon:1002689
NCBITaxon:10027	NCBITaxon:36483
NCBITaxon:1002786	NCBITaxon:61435
