taxon_id	label	rank	parent_id	genetic_code	exact_synonyms	related_synonyms	broad_synonyms	attested_by
NCBITaxon:1	root	NO_RANK		1		all		gold
NCBITaxon:2	Bacteria	DOMAIN	NCBITaxon:131567	11	bacteria|eubacteria	Bacteria (ex Cavalier-Smith 1987)|Bacteria Woese et al. 2024|Bacteriobiota|Monera|Procaryotae|Prokaryota|Prokaryotae|bacteria|prokaryote|prokaryotes		bacdive|mediadive|gold|bactotraits
NCBITaxon:6	Azorhizobium	GENUS	NCBITaxon:335928	11				lpsn
NCBITaxon:7	Azorhizobium caulinodans	SPECIES	NCBITaxon:6	11	Azotirhizobium caulinodans			bacdive|lpsn|gold|madin_etal
NCBITaxon:9	Buchnera aphidicola	SPECIES	NCBITaxon:32199	11				lpsn|gold|madin_etal
NCBITaxon:10	Cellvibrio	GENUS	NCBITaxon:1706371	11				lpsn|gold
NCBITaxon:11	Cellulomonas gilvus	SPECIES	NCBITaxon:1707	11		Cellvibrio gilvus		madin_etal
NCBITaxon:13	Dictyoglomus	GENUS	NCBITaxon:203488	11				lpsn
NCBITaxon:14	Dictyoglomus thermophilum	SPECIES	NCBITaxon:13	11				bacdive|lpsn|mediadive|gold|madin_etal|bactotraits
NCBITaxon:16	Methylophilus	GENUS	NCBITaxon:32011	11	Methyliphilus			lpsn|gold
NCBITaxon:17	Methylophilus methylotrophus	SPECIES	NCBITaxon:16	11	Methyliphilus methylitrophus|Methyliphilus methylotrophus|Methylophilus methylitrophus	Methylomonas clara|Methylotrophus methylophilus|[Methylomonas] clara		bacdive|lpsn|mediadive|gold|madin_etal
NCBITaxon:18	Pelobacter	GENUS	NCBITaxon:213421	11		Pseudopelobacter		lpsn|gold
NCBITaxon:19	Syntrophotalea carbinolica	SPECIES	NCBITaxon:2812025	11		Pelobacter carbinolicus		lpsn|gold|madin_etal
NCBITaxon:20	Phenylobacterium	GENUS	NCBITaxon:76892	11				lpsn|gold
NCBITaxon:21	Phenylobacterium immobile	SPECIES	NCBITaxon:20	11				bacdive|lpsn|mediadive|gold|madin_etal|bactotraits
NCBITaxon:22	Shewanella	GENUS	NCBITaxon:267890	11				lpsn|gold
NCBITaxon:23	Shewanella colwelliana	SPECIES	NCBITaxon:22	11		Alteromonas colwelliana|Shewanella affinis|Shewanella colwelliana (Weiner et al. 1988) Coyne et al. 1990		bacdive|lpsn|mediadive|gold|madin_etal|bactotraits
NCBITaxon:24	Shewanella putrefaciens	SPECIES	NCBITaxon:22	11		Alteromonas putrefaciens|Pseudomonas putrefaciens		bacdive|lpsn|mediadive|gold|madin_etal|bactotraits
NCBITaxon:25	Shewanella hanedai	SPECIES	NCBITaxon:22	11		Alteromonas hanedai		bacdive|lpsn|mediadive|gold|madin_etal
NCBITaxon:29	Myxococcales	ORDER	NCBITaxon:32015	11	fruiting gliding bacteria	Myxobacteria|The Myxobacteria		bacdive|mediadive|gold|bactotraits
NCBITaxon:31	Myxococcaceae	FAMILY	NCBITaxon:80811	11				gold
NCBITaxon:32	Myxococcus	GENUS	NCBITaxon:31	11				lpsn
NCBITaxon:33	Myxococcus fulvus	SPECIES	NCBITaxon:32	11		Micrococcus fulvus		bacdive|lpsn|mediadive|gold|madin_etal|bactotraits
NCBITaxon:34	Myxococcus xanthus	SPECIES	NCBITaxon:32	11		Pseudomyxococcus xanthus		bacdive|lpsn|mediadive|gold|madin_etal
NCBITaxon:35	Corallococcus macrosporus	SPECIES	NCBITaxon:83461	11		Chondrococcus macrosporus|Myxococcus macrosporus|Pseudomyxococcus macrosporus		bacdive|lpsn|mediadive|gold|madin_etal
NCBITaxon:38	Archangium disciforme	SPECIES	NCBITaxon:47	11		Angiococcus disciformis|Cystobacter disciformis|Myxococcus disciformis		bacdive|lpsn|mediadive|gold|madin_etal
NCBITaxon:39	Archangiaceae	FAMILY	NCBITaxon:80811	11		Cystobacteraceae		bacdive|mediadive|gold
NCBITaxon:40	Allostigmatella	GENUS	NCBITaxon:39	11		Stigmatella		lpsn
NCBITaxon:41	Allostigmatella aurantiaca	SPECIES	NCBITaxon:40	11		Chondromyces aurantiacus|Stigmatella aurantiaca		bacdive|lpsn|mediadive|gold|madin_etal|bactotraits
