strain_id	assembly_id	source	source_id	source_reference_id	assembly_level	assembly_name	taxon_id	source_field	matched_strain_id	source_strain_identifiers	source_strain_field	source_organism_id	source_project_id
kgmicrobe.strain:bacdive_10	ncbi.assembly:GCA_011516945	BACDIVE	bacdive:10	67770	contig	Acetobacter estunensis LMG 1626	NCBITaxon:104097						
kgmicrobe.strain:bacdive_10	ncbi.assembly:GCA_011516945.1	GOLD	gold:Ga0488917			Acetobacter estunensis LMG 1626	NCBITaxon:104097	AP GENBANK.assemblyAccession	kgmicrobe.strain:LMG-1626	LMG 1626	ORGANISM CULTURE COLLECTION ID	gold:Go0576608	gold:Gp0551382
kgmicrobe.strain:bacdive_10	ncbi.assembly:GCA_011516945.1	GOLD	gold:Ga0488917			Acetobacter estunensis LMG 1626	NCBITaxon:104097	AP GENBANK.assemblyAccession	kgmicrobe.strain:LMG-1626	LMG 1626	ORGANISM STRAIN	gold:Go0576608	gold:Gp0551382
kgmicrobe.strain:bacdive_10	ncbi.assembly:GCA_011516945.1	GTDB	gtdb.genome:RS_GCF_011516945.1		Contig	ASM1151694v1	NCBITaxon:104097	ncbi_genbank_assembly_accession	kgmicrobe.strain:LMG-1626	LMG 1626	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_10	ncbi.assembly:GCF_011516945.1	GTDB	gtdb.genome:RS_GCF_011516945.1		Contig	ASM1151694v1	NCBITaxon:104097	accession	kgmicrobe.strain:LMG-1626	LMG 1626	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_100	ncbi.assembly:GCA_003269275	BACDIVE	bacdive:100	66792	scaffold	Phascolarctobacterium faecium DSM 14760	NCBITaxon:1122957						
kgmicrobe.strain:bacdive_100	ncbi.assembly:GCA_003269275.1	GOLD	gold:Ga0215641			Phascolarctobacterium faecium DSM 14760	NCBITaxon:1122957	AP GENBANK.assemblyAccession	kgmicrobe.strain:DSM-14760	DSM 14760	ORGANISM CULTURE COLLECTION ID	gold:Go0013133	gold:Gp0251908
kgmicrobe.strain:bacdive_100	ncbi.assembly:GCA_003269275.1	GOLD	gold:Ga0215641			Phascolarctobacterium faecium DSM 14760	NCBITaxon:1122957	AP GENBANK.assemblyAccession	kgmicrobe.strain:DSM-14760	DSM 14760	ORGANISM STRAIN	gold:Go0013133	gold:Gp0251908
kgmicrobe.strain:bacdive_100	ncbi.assembly:GCA_003269275.1	GTDB	gtdb.genome:RS_GCF_003269275.1		Scaffold	ASM326927v1	NCBITaxon:1122957	ncbi_genbank_assembly_accession	kgmicrobe.strain:DSM-14760	DSM 14760	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_100	ncbi.assembly:GCF_003269275.1	GTDB	gtdb.genome:RS_GCF_003269275.1		Scaffold	ASM326927v1	NCBITaxon:1122957	accession	kgmicrobe.strain:DSM-14760	DSM 14760	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_1002	ncbi.assembly:GCA_029537075	BACDIVE	bacdive:1002	66792	complete	Bacillus subtilis DSM 23521	NCBITaxon:1423						
