strain_id	genome_id	source_database	source	source_id	source_reference_id	assembly_level	genome_name	taxon_id	source_field	matched_strain_id	source_strain_identifiers	source_strain_field	source_organism_id	source_project_id
kgmicrobe.strain:bacdive_10	gtdb.genome:RS_GCF_011516945.1	gtdb	GTDB	gtdb.genome:RS_GCF_011516945.1		Contig	Acetobacter estunensis	NCBITaxon:104097	accession	kgmicrobe.strain:LMG-1626	LMG 1626	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_10	img.taxon:3003386530	img	GOLD	gold:Ga0488917			Acetobacter estunensis LMG 1626	NCBITaxon:104097	AP IMG TAXON ID	kgmicrobe.strain:LMG-1626	LMG 1626	ORGANISM CULTURE COLLECTION ID	gold:Go0576608	gold:Gp0551382
kgmicrobe.strain:bacdive_10	img.taxon:3003386530	img	GOLD	gold:Ga0488917			Acetobacter estunensis LMG 1626	NCBITaxon:104097	AP IMG TAXON ID	kgmicrobe.strain:LMG-1626	LMG 1626	ORGANISM STRAIN	gold:Go0576608	gold:Gp0551382
kgmicrobe.strain:bacdive_10	patric:104097.5	patric	BACDIVE	bacdive:10	66792	wgs	Acetobacter estunensis strain LMG 1626	NCBITaxon:104097						
kgmicrobe.strain:bacdive_100	gtdb.genome:RS_GCF_003269275.1	gtdb	GTDB	gtdb.genome:RS_GCF_003269275.1		Scaffold	Phascolarctobacterium faecium DSM 14760	NCBITaxon:1122957	accession	kgmicrobe.strain:DSM-14760	DSM 14760	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_100	img.taxon:2756170237	img	BACDIVE	bacdive:100	66792	draft	Phascolarctobacterium faecium DSM 14760	NCBITaxon:1122957						
kgmicrobe.strain:bacdive_100	img.taxon:2756170237	img	GOLD	gold:Ga0215641			Phascolarctobacterium faecium DSM 14760	NCBITaxon:1122957	AP IMG TAXON ID	kgmicrobe.strain:DSM-14760	DSM 14760	ORGANISM CULTURE COLLECTION ID	gold:Go0013133	gold:Gp0251908
kgmicrobe.strain:bacdive_100	img.taxon:2756170237	img	GOLD	gold:Ga0215641			Phascolarctobacterium faecium DSM 14760	NCBITaxon:1122957	AP IMG TAXON ID	kgmicrobe.strain:DSM-14760	DSM 14760	ORGANISM STRAIN	gold:Go0013133	gold:Gp0251908
kgmicrobe.strain:bacdive_100	patric:1122957.3	patric	BACDIVE	bacdive:100	66792	wgs	Phascolarctobacterium faecium DSM 14760	NCBITaxon:1122957						
kgmicrobe.strain:bacdive_1002	gtdb.genome:RS_GCF_029537075.2	gtdb	GTDB	gtdb.genome:RS_GCF_029537075.2		Complete Genome	Bacillus subtilis	NCBITaxon:1423	accession	kgmicrobe.strain:DSM-23521	DSM 23521	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_1003	patric:224308.261	patric	BACDIVE	bacdive:1003	66792	wgs	Bacillus subtilis subsp. subtilis str. 168 strain 168	NCBITaxon:224308						
kgmicrobe.strain:bacdive_1003	patric:224308.262	patric	BACDIVE	bacdive:1003	66792	wgs	Bacillus subtilis subsp. subtilis str. 168 strain 168	NCBITaxon:224308						
kgmicrobe.strain:bacdive_1006	gtdb.genome:GB_GCA_002243685.1	gtdb	GTDB	gtdb.genome:GB_GCA_002243685.1		Complete Genome	Bacillus thuringiensis	NCBITaxon:1428	accession	kgmicrobe.strain:ATCC-10792	ATCC 10792	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_1006	gtdb.genome:RS_GCF_000161615.1	gtdb	GTDB	gtdb.genome:RS_GCF_000161615.1		Chromosome	Bacillus thuringiensis serovar berliner ATCC 10792	NCBITaxon:527031	accession	kgmicrobe.strain:ATCC-10792	ATCC 10792	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_1006	gtdb.genome:RS_GCF_002119445.1	gtdb	GTDB	gtdb.genome:RS_GCF_002119445.1		Complete Genome	Bacillus thuringiensis	NCBITaxon:1428	accession	kgmicrobe.strain:ATCC-10792	ATCC 10792	ncbi_strain_identifiers		
kgmicrobe.strain:bacdive_1006	img.taxon:2912849059	img	BACDIVE	bacdive:1006	66792	complete	Bacillus thuringiensis sv. berliner ATCC 10792	NCBITaxon:527031						
