strain_id	assembly_id	source	source_id	source_reference_id	assembly_level	assembly_name	taxon_id	source_field	matched_strain_id	source_strain_identifiers	source_strain_field	source_organism_id	source_project_id	straininfo_evidence_json
kgmicrobe.strain:bacdive_10	ncbi.assembly:GCA_011516945	STRAININFO	straininfo.strain:92175		contig	Acetobacter estunensis LMG 1626	NCBITaxon:104097	strain.sequence.accessionNumber	kgmicrobe.strain:LMG-1626	LMG 1626	deposits.designation			"{""deposit_designation"":""LMG 1626"",""deposit_id"":""straininfo.deposit:375"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:375"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:10"",""strain_doi"":""DOI:10.60712/SI-ID92175.3"",""strain_id"":""straininfo.strain:92175"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_100	ncbi.assembly:GCA_003269275	STRAININFO	straininfo.strain:87670		scaffold	Phascolarctobacterium faecium DSM 14760	NCBITaxon:33025	strain.sequence.accessionNumber	kgmicrobe.strain:DSM-14760	DSM 14760	deposits.designation			"{""deposit_designation"":""DSM 14760"",""deposit_id"":""straininfo.deposit:303425"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:303425"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:100"",""strain_doi"":""DOI:10.60712/SI-ID87670.3"",""strain_id"":""straininfo.strain:87670"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_1002	ncbi.assembly:GCA_029537075	STRAININFO	straininfo.strain:405198		complete	Bacillus subtilis DSM 23521	NCBITaxon:1423	strain.sequence.accessionNumber	kgmicrobe.strain:DSM-23521	DSM 23521	deposits.designation			"{""deposit_designation"":""DSM 23521"",""deposit_id"":""straininfo.deposit:912397"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:912397"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:1002"",""strain_doi"":""DOI:10.60712/SI-ID405198.2"",""strain_id"":""straininfo.strain:405198"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_1006	ncbi.assembly:GCA_000161615	STRAININFO	straininfo.strain:389259		chromosome	Bacillus thuringiensis serovar berliner ATCC 10792	NCBITaxon:1428	strain.sequence.accessionNumber	kgmicrobe.strain:ATCC-10792	ATCC 10792	deposits.designation			"{""deposit_designation"":""ATCC 10792"",""deposit_id"":""straininfo.deposit:5186"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:5186"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:1006"",""strain_doi"":""DOI:10.60712/SI-ID389259.3"",""strain_id"":""straininfo.strain:389259"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_1006	ncbi.assembly:GCA_002119445	STRAININFO	straininfo.strain:389259		complete	Bacillus thuringiensis ATCC 10792	NCBITaxon:1428	strain.sequence.accessionNumber	kgmicrobe.strain:ATCC-10792	ATCC 10792	deposits.designation			"{""deposit_designation"":""ATCC 10792"",""deposit_id"":""straininfo.deposit:5186"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:5186"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:1006"",""strain_doi"":""DOI:10.60712/SI-ID389259.3"",""strain_id"":""straininfo.strain:389259"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_1006	ncbi.assembly:GCA_002243685	STRAININFO	straininfo.strain:389259		complete	Bacillus thuringiensis ATCC 10792	NCBITaxon:1428	strain.sequence.accessionNumber	kgmicrobe.strain:ATCC-10792	ATCC 10792	deposits.designation			"{""deposit_designation"":""ATCC 10792"",""deposit_id"":""straininfo.deposit:5186"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:5186"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:1006"",""strain_doi"":""DOI:10.60712/SI-ID389259.3"",""strain_id"":""straininfo.strain:389259"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_10096	ncbi.assembly:GCA_000331735	STRAININFO	straininfo.strain:143378		complete	Myxococcus stipitatus DSM 14675	NCBITaxon:83455	strain.sequence.accessionNumber	kgmicrobe.strain:DSM-14675	DSM 14675	deposits.designation			"{""deposit_designation"":""DSM 14675"",""deposit_id"":""straininfo.deposit:401245"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:401245"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:10096"",""strain_doi"":""DOI:10.60712/SI-ID143378.3"",""strain_id"":""straininfo.strain:143378"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_10169	ncbi.assembly:GCA_012933655	STRAININFO	straininfo.strain:215417		contig	Pyxidicoccus fallax DSM 14698	NCBITaxon:394095	strain.sequence.accessionNumber	kgmicrobe.strain:DSM-14698	DSM 14698	deposits.designation			"{""deposit_designation"":""DSM 14698"",""deposit_id"":""straininfo.deposit:534134"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:534134"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:10169"",""strain_doi"":""DOI:10.60712/SI-ID215417.3"",""strain_id"":""straininfo.strain:215417"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_10173	ncbi.assembly:GCA_000024365	STRAININFO	straininfo.strain:46213		complete	Nakamurella multipartita DSM 44233	NCBITaxon:53461	strain.sequence.accessionNumber	kgmicrobe.strain:DSM-44233	DSM 44233	deposits.designation			"{""deposit_designation"":""DSM 44233"",""deposit_id"":""straininfo.deposit:169342"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:169342"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:10173"",""strain_doi"":""DOI:10.60712/SI-ID46213.3"",""strain_id"":""straininfo.strain:46213"",""strain_status"":""published online""}"
kgmicrobe.strain:bacdive_10174	ncbi.assembly:GCA_000426645	STRAININFO	straininfo.strain:404452		scaffold	Nakamurella lactea DSM 19367	NCBITaxon:459515	strain.sequence.accessionNumber	kgmicrobe.strain:DSM-19367	DSM 19367	deposits.designation			"{""deposit_designation"":""DSM 19367"",""deposit_id"":""straininfo.deposit:911595"",""deposit_status"":""available"",""match_method"":""culture_identifier"",""sequence_deposit_id"":""straininfo.deposit:911595"",""sequence_type"":""genome"",""source_bacdive_id"":""bacdive:10174"",""strain_doi"":""DOI:10.60712/SI-ID404452.3"",""strain_id"":""straininfo.strain:404452"",""strain_status"":""published online""}"
