source_strain_id	source_deposit_id	accession	reason	value
straininfo.strain:10001	straininfo.deposit:39334		conflicting_bacdive_reference_not_used	bacdive:11491; deposit matches kgmicrobe.strain:bacdive_135259
straininfo.strain:1001	straininfo.deposit:51788		conflicting_bacdive_reference_not_used	bacdive:7522; deposit matches kgmicrobe.strain:bacdive_153802
straininfo.strain:1001	straininfo.deposit:703337		conflicting_bacdive_reference_not_used	bacdive:7522; deposit matches kgmicrobe.strain:bacdive_153802
straininfo.strain:1002	straininfo.deposit:4058		conflicting_bacdive_reference_not_used	bacdive:7619; deposit matches kgmicrobe.strain:bacdive_168753
straininfo.strain:100264	straininfo.deposit:301371		conflicting_bacdive_reference_not_used	bacdive:19; deposit matches kgmicrobe.strain:bacdive_132838
straininfo.strain:100264	straininfo.deposit:478857		conflicting_bacdive_reference_not_used	bacdive:19; deposit matches kgmicrobe.strain:bacdive_132838
straininfo.strain:100264	straininfo.deposit:915557		conflicting_bacdive_reference_not_used	bacdive:19; deposit matches kgmicrobe.strain:bacdive_132838
straininfo.strain:100388	straininfo.deposit:53295		conflicting_bacdive_reference_not_used	bacdive:2981; deposit matches kgmicrobe.strain:bacdive_141299
straininfo.strain:10042	straininfo.deposit:39489		conflicting_bacdive_reference_not_used	bacdive:137166; deposit matches kgmicrobe.strain:bacdive_11419
straininfo.strain:10042	straininfo.deposit:39494		conflicting_bacdive_reference_not_used	bacdive:137166; deposit matches kgmicrobe.strain:bacdive_11419
straininfo.strain:1005	straininfo.deposit:4074		conflicting_bacdive_reference_not_used	bacdive:7533; deposit matches kgmicrobe.strain:bacdive_144237
straininfo.strain:1005	straininfo.deposit:4078		conflicting_bacdive_reference_not_used	bacdive:7533; deposit matches kgmicrobe.strain:bacdive_144237
straininfo.strain:100747	straininfo.deposit:340503		conflicting_bacdive_reference_not_used	bacdive:18148; deposit matches kgmicrobe.strain:bacdive_18147
straininfo.strain:100857	straininfo.deposit:303407		conflicting_bacdive_reference_not_used	bacdive:11833; deposit matches kgmicrobe.strain:bacdive_11834
straininfo.strain:100857	straininfo.deposit:340454		conflicting_bacdive_reference_not_used	bacdive:11833; deposit matches kgmicrobe.strain:bacdive_11834
straininfo.strain:100876	straininfo.deposit:303480		conflicting_bacdive_reference_not_used	bacdive:152229; deposit matches kgmicrobe.strain:bacdive_12657
