identifier	slug
NCBITaxon:106590	cupriavidus_necator
NCBITaxon:1255	pediococcus_pentosaceus
NCBITaxon:1270	micrococcus_luteus
NCBITaxon:1280	staphylococcus_aureus
NCBITaxon:1282	staphylococcus_epidermidis
NCBITaxon:1283	staphylococcus_haemolyticus
NCBITaxon:1290	staphylococcus_hominis
NCBITaxon:1292	staphylococcus_warneri
NCBITaxon:1302	streptococcus_gordonii
NCBITaxon:1303	streptococcus_oralis
NCBITaxon:1304	streptococcus_salivarius
NCBITaxon:1305	streptococcus_sanguinis
NCBITaxon:1309	streptococcus_mutans
NCBITaxon:1311	streptococcus_agalactiae
NCBITaxon:1313	streptococcus_pneumoniae
NCBITaxon:1314	streptococcus_pyogenes
NCBITaxon:1328	streptococcus_anginosus
NCBITaxon:1351	enterococcus_faecalis
NCBITaxon:1358	lactococcus_lactis
NCBITaxon:13689	sphingomonas_paucimobilis
NCBITaxon:1393	brevibacillus_brevis
NCBITaxon:1402	bacillus_licheniformis
NCBITaxon:1404	priestia_megaterium
NCBITaxon:1408	bacillus_pumilus
NCBITaxon:1421	lysinibacillus_sphaericus
NCBITaxon:1423	bacillus_subtilis
NCBITaxon:1464	paenibacillus_larvae
NCBITaxon:1478	peribacillus_simplex
NCBITaxon:1488	clostridium_acetobutylicum
NCBITaxon:1496	clostridioides_difficile
NCBITaxon:1504	clostridium_septicum
NCBITaxon:1541	terrisporobacter_mayombei
NCBITaxon:1559	clostridium_tertium
NCBITaxon:1580	levilactobacillus_brevis
NCBITaxon:1590	lactiplantibacillus_plantarum
NCBITaxon:1597	lacticaseibacillus_paracasei
NCBITaxon:1613	limosilactobacillus_fermentum
NCBITaxon:1624	ligilactobacillus_salivarius
NCBITaxon:1655	actinomyces_naeslundii
NCBITaxon:1659	actinomyces_israelii
NCBITaxon:1661	trueperella_pyogenes
NCBITaxon:1717	corynebacterium_diphtheriae
NCBITaxon:1747	cutibacterium_acnes
NCBITaxon:1824	nocardia_asteroides
NCBITaxon:1886	streptomyces_albidoflavus
NCBITaxon:1894	kitasatospora_aureofaciens
NCBITaxon:1895	streptomyces_avidinii
NCBITaxon:1911	streptomyces_griseus
NCBITaxon:1919	streptomyces_microflavus
NCBITaxon:196	campylobacter_fetus
NCBITaxon:198	campylobacter_hyointestinalis
NCBITaxon:206	campylobacter_sputorum
NCBITaxon:210	helicobacter_pylori
NCBITaxon:24	shewanella_putrefaciens
NCBITaxon:28035	staphylococcus_lugdunensis
NCBITaxon:28188	capnocytophaga_canimorsus
NCBITaxon:28264	arcanobacterium_haemolyticum
NCBITaxon:285	comamonas_testosteroni
NCBITaxon:287	pseudomonas_aeruginosa
NCBITaxon:28901	salmonella_enterica
NCBITaxon:29385	staphylococcus_saprophyticus
NCBITaxon:315405	streptococcus_gallolyticus
NCBITaxon:33	myxococcus_fulvus
NCBITaxon:33889	brevibacterium_casei
NCBITaxon:339	xanthomonas_campestris
NCBITaxon:37637	corynebacterium_pseudodiphtheriticum
NCBITaxon:38284	corynebacterium_accolens
NCBITaxon:38304	corynebacterium_tuberculostearicum
NCBITaxon:39791	corynebacterium_glucuronolyticum
NCBITaxon:40324	stenotrophomonas_maltophilia
NCBITaxon:43675	rothia_mucilaginosa
NCBITaxon:43765	corynebacterium_amycolatum
NCBITaxon:470	acinetobacter_baumannii
NCBITaxon:485	neisseria_gonorrhoeae
NCBITaxon:487	neisseria_meningitidis
NCBITaxon:488	neisseria_mucosa
NCBITaxon:490	neisseria_sicca
NCBITaxon:520	bordetella_pertussis
NCBITaxon:529	brucella_anthropi
NCBITaxon:54	nannocystis_exedens
NCBITaxon:546	citrobacter_freundii
NCBITaxon:554	pectobacterium_carotovorum
NCBITaxon:562	escherichia_coli
NCBITaxon:571	klebsiella_oxytoca
NCBITaxon:573	klebsiella_pneumoniae
NCBITaxon:584	proteus_mirabilis
NCBITaxon:615	serratia_marcescens
NCBITaxon:633	yersinia_pseudotuberculosis
NCBITaxon:666	vibrio_cholerae
NCBITaxon:670	vibrio_parahaemolyticus
NCBITaxon:714	aggregatibacter_actinomycetemcomitans
NCBITaxon:727	haemophilus_influenzae
NCBITaxon:731	histophilus_somni
NCBITaxon:74426	collinsella_aerofaciens
NCBITaxon:753	pasteurella_canis
NCBITaxon:83456	myxococcus_virescens
NCBITaxon:83460	allostigmatella_erecta
NCBITaxon:84112	eggerthella_lenta
NCBITaxon:85698	achromobacter_xylosoxidans
NCBITaxon:97398	streptomyces_abikoensis
